No,Name,GP,ATT,Net,avg,TD,Long,AVG/G,Year
24,"Brown-Dukes, Brandon",11,244,1295,5.3,244,65,117.7,2012
,"Ii, Allen jonesIi",10,118,666,5.6,118,46,66.6,2012
49,"Revell, Milton",5,23,122,5.3,23,25,24.4,2012
28,"Lyle, Chris",11,13,80,6.2,13,32,7.3,2012
4,"Vendemia, Anthony",11,68,47,0.7,68,24,4.3,2012
17,"Woods, Devyn",11,3,24,8.0,3,12,2.2,2012
32,"Gallagher, Paul",4,3,18,6.0,3,14,4.5,2012
89,"Matarazzo, John",11,1,9,9.0,1,9,0.8,2012
5,"Swartz, Alec",4,1,5,5.0,1,5,1.2,2012
34,"Gallop, Leon",11,1,0,0.0,1,0,0.0,2012
7,"Rock, Vladmir",11,1,-2,-2.0,1,0,-0.2,2012
97,"Wakefield, Steven",11,2,-2,-1.0,2,13,-0.2,2012
,TeamTeam,6,10,-17,-1.7,10,0,-2.8,2012
