No,Name,GP,ATT,Net,avg,TD,Long,AVG/G,Year
28,"Butera, Jaylen",11,109,632,5.8,109,63,57.4,2023
9,"Shoaf, Dustin",7,82,387,4.7,82,29,55.3,2023
3,"Rodriguez, Ayron",7,45,170,3.8,45,19,24.3,2023
15,"Pappas, Mike",7,18,101,5.6,18,28,14.4,2023
1,"Alize, David",3,18,46,2.6,18,12,15.3,2023
,"Rodriguez, AyroRodriguez",2,5,11,2.2,5,4,5.5,2023
9,"Dombkowski, Joe",2,1,7,7.0,1,7,3.5,2023
19,"Lippert, Austin",11,1,5,5.0,1,5,0.4,2023
14,"Black, Braydon",10,1,3,3.0,1,3,0.3,2023
8,"Davison, Rylan",5,1,3,3.0,1,3,0.6,2023
5,"Kim, Austin",8,1,3,3.0,1,3,0.4,2023
,TeamTeam,10,6,-38,-6.3,6,0,-3.8,2023
16,"Urena, Adam",11,33,-171,-5.2,33,10,-15.6,2023
