No,Name,GP,ATT,Net,avg,TD,Long,AVG/G,Year
1,"Trobel, Brian",11,83,445,5.4,83,56,40.4,2024
3,"Rodriguez, Ayron",11,83,358,4.3,83,19,32.6,2024
9,"Davis III, Ernest",9,45,234,5.2,45,25,26.0,2024
,"Askew, JordanAskew",4,15,98,6.5,15,19,24.5,2024
42,"Knox, Ethen",1,7,76,10.9,7,29,76.0,2024
7,"Kerbacher, Joe",10,6,53,8.8,6,21,5.3,2024
6,"Davis, Chaz",10,7,52,7.4,7,28,5.2,2024
15,"Pappas, Mike",4,7,50,7.1,7,17,12.5,2024
37,"Lattimore, Amare",3,1,28,28.0,1,28,9.3,2024
14,"Black, Braydon",8,2,13,6.5,2,12,1.6,2024
8,"Davison, Rylan",11,5,2,0.4,5,5,0.2,2024
71,"Davis, Spencer",7,0,0,0.0,0,0,0.0,2024
61,"Welch, Ryan",10,0,0,0.0,0,0,0.0,2024
,TeamTeam,11,7,-5,-0.7,7,0,-0.4,2024
77,"Null, Collin",9,0,-6,-6.0,0,0,-0.7,2024
5,"Kim, Austin",10,1,-10,-10.0,1,0,-1.0,2024
16,"Urena, Adam",11,39,-188,-4.8,39,9,-17.1,2024
