No,Name,GP,ATT,Net,avg,TD,Long,AVG/G,Year
25,"Alize, David",11,92,375,4.1,92,32,34.1,2021
13,"Moss, Chawntez",7,69,258,3.7,69,35,36.9,2021
9,"Shoaf, Dustin",11,55,150,2.7,55,12,13.6,2021
31,"Rodriguez, Ayron",6,34,93,2.7,34,9,15.5,2021
86,"Tate, Trevon",9,4,20,5.0,4,9,2.2,2021
7,"Hill Jr., Justin",8,2,13,6.5,2,10,1.6,2021
7,"Hill Jr., Justin",11,2,13,6.5,2,10,1.2,2021
15,"Cooper, Diondre",9,1,11,11.0,1,11,1.2,2021
16,"Davison, Rylan",10,4,8,2.0,4,13,0.8,2021
5,"Helsley, Zack",11,1,6,6.0,1,6,0.6,2021
34,"Pappas, Mike",3,1,3,3.0,1,3,1.0,2021
,"Pantaleon, FredPantaleon",5,0,1,1.0,0,1,0.2,2021
65,"Smith, Aaron",10,0,0,0.0,0,0,0.0,2021
23,"Smith, Rondale",7,1,0,0.0,1,0,0.0,2021
,TeamTeam,10,7,-9,-1.3,7,1,-0.9,2021
,BrianalsobrooksBrianalsobrooks,3,2,-12,-6.0,2,0,-4.0,2021
12,"Alsobrooks, Brian",10,4,-18,-4.5,4,0,-1.8,2021
10,"Lowery, Michael",5,31,-26,-0.8,31,34,-5.2,2021
19,"Carter, Joe",8,37,-43,-1.2,37,11,-5.4,2021
