No,Name,GP,ATT,Net,avg,TD,Long,AVG/G,Year
24,"Brown-Dukes, Brandon",11,165,726,4.4,165,44,66.0,2015
5,"Sanders, Richie",11,76,467,6.1,76,75,42.4,2015
27,"Robinson, Drew",11,29,150,5.2,29,25,13.6,2015
83,"Bongiorni, Dylan",11,2,12,6.0,2,10,1.1,2015
19,"Weaver, Logan",4,8,6,0.8,8,13,1.5,2015
17,"Williams, Jaquan",10,5,2,0.4,5,7,0.2,2015
93,"Kondis, Dylan",11,1,-1,-1.0,1,0,-0.1,2015
80,"Novak, Brad",10,1,-13,-13.0,1,0,-1.3,2015
,TeamTeam,9,9,-16,-1.8,9,0,-1.8,2015
13,"Boylan, Brendan",7,19,-37,-1.9,19,8,-5.3,2015
16,"Emerick, Zach",8,28,-41,-1.5,28,10,-5.1,2015
