No,Name,GP,ATT,Net,avg,TD,Long,AVG/G,Year
21,"Owens, Garrett",11,212,986,4.7,212,98,89.6,2019
4,"Watson, Cortez",11,63,208,3.3,63,21,18.9,2019
15,"Altavilla, Doug",11,42,59,1.4,42,31,5.4,2019
20,"Isom, Daquan",10,8,39,4.9,8,26,3.9,2019
37,"Shoaf, Dustin",11,5,33,6.6,5,12,3.0,2019
35,"Bryant, Donny",4,1,32,32.0,1,32,8.0,2019
23,"Waldron, Clay",11,3,29,9.7,3,35,2.6,2019
48,"Sever, Tom",2,1,2,2.0,1,2,1.0,2019
30,"Tretinik, Jacob",3,1,0,0.0,1,0,0.0,2019
25,"Cooper, Diondre",5,1,-1,-1.0,1,0,-0.2,2019
99,"Cole, Brendan",11,1,-6,-6.0,1,0,-0.6,2019
14,"Lowery, Michael",7,12,-13,-1.1,12,16,-1.9,2019
,TeamTeam,6,8,-13,-1.6,8,0,-2.2,2019
