No,Name,GP,ATT,Net,avg,TD,Long,AVG/G,Year
21,"Owens, Garrett",10,140,762,5.4,140,83,76.2,2017
2,"Smith, E'Andre",9,89,473,5.3,89,73,52.6,2017
27,"Taylor, Grayson",9,29,124,4.3,29,28,13.8,2017
28,"Thompson, Cameron",10,26,88,3.4,26,13,8.8,2017
23,"Waldron, Clay",11,1,0,0.0,1,0,0.0,2017
8,"Hence, Austin",6,1,-1,-1.0,1,0,-0.2,2017
,"Finnegan, RamFinnegan",3,3,-4,-1.3,3,8,-1.3,2017
80,"Novak, Brad",11,1,-10,-10.0,1,0,-0.9,2017
,TeamTeam,7,12,-25,-2.1,12,0,-3.6,2017
15,"Altavilla, Doug",11,46,-48,-1.0,46,19,-4.4,2017
