player,receptions,receiving_yards,receiving_tds,long_reception,year,opponent
Marcus Placke,4,52,0,17,2018,Bloomsburg University
Austin Hence,3,46,1,19,2018,Bloomsburg University
Clay Waldron,3,32,0,14,2018,Bloomsburg University
Garrett Owens,5,12,0,5,2018,Bloomsburg University
B. Mostoller,1,5,0,5,2018,Bloomsburg University
Fredrick Green,1,-1,0,0,2018,Bloomsburg University
Austin Hence,7,120,0,32,2018,Indiana University of Pennsylvania
Clay Waldron,1,32,0,32,2018,Indiana University of Pennsylvania
Garrett Owens,1,12,0,12,2018,Indiana University of Pennsylvania
Doug Altavilla,1,6,0,6,2018,Indiana University of Pennsylvania
Marcus Placke,1,5,0,5,2018,Indiana University of Pennsylvania
T. Blackston,1,-1,0,0,2018,Indiana University of Pennsylvania
Clay Waldron,4,73,1,42,2018,Slippery Rock University
Garrett Owens,5,51,0,22,2018,Slippery Rock University
Austin Hence,2,21,0,14,2018,Slippery Rock University
T. Blackston,2,15,0,10,2018,Slippery Rock University
Bryce Mostoller,1,9,0,9,2018,Slippery Rock University
Cortez Watson,1,2,0,2,2018,Slippery Rock University
Garrett Owens,2,62,1,60,2018,Edinboro University of Pennsylvania
Nick Altavilla,3,57,0,35,2018,Edinboro University of Pennsylvania
Clay Waldron,3,30,0,12,2018,Edinboro University of Pennsylvania
Fredrick Green,1,22,1,22,2018,Edinboro University of Pennsylvania
B. Mostoller,3,22,0,12,2018,Edinboro University of Pennsylvania
T. Blackston,2,19,0,14,2018,Edinboro University of Pennsylvania
Austin Smith,1,12,0,12,2018,Edinboro University of Pennsylvania
Clay Waldron,4,120,0,73,2018,Seton Hill University
Nick Altavilla,4,60,1,20,2018,Seton Hill University
T. Blackston,4,45,1,29,2018,Seton Hill University
Fredrick Green,1,9,0,9,2018,Seton Hill University
Romello Freeman,1,3,0,3,2018,Seton Hill University
Marcus Placke,3,27,0,13,2018,California University of Pennsylvania
Fredrick Green,3,18,0,11,2018,California University of Pennsylvania
Austin Hence,2,15,0,8,2018,California University of Pennsylvania
Clay Waldron,2,14,0,11,2018,California University of Pennsylvania
Cortez Watson,1,6,0,6,2018,California University of Pennsylvania
Jason Armstrong,1,2,0,2,2018,California University of Pennsylvania
Nick Altavilla,1,1,0,1,2018,California University of Pennsylvania
B. Mostoller,1,1,0,1,2018,California University of Pennsylvania
Garrett Owens,3,36,0,25,2018,Gannon University
Austin Hence,1,14,0,14,2018,Gannon University
Bryce Mostoller,2,13,1,11,2018,Gannon University
Clay Waldron,1,7,0,7,2018,Gannon University
Nick Altavilla,1,7,0,7,2018,Gannon University
Clay Waldron,2,32,1,28,2018,Clarion University
T. Blackston,1,13,0,13,2018,Clarion University
Marcus Placke,1,11,0,11,2018,Clarion University
Clay Waldron,7,150,2,59,2018,Millersville University
Austin Hence,2,50,0,37,2018,Millersville University
Cortez Watson,1,11,0,11,2018,Millersville University
B. Mostoller,1,11,1,11,2018,Millersville University
Marcus Placke,1,6,0,6,2018,Millersville University
Austin Hence,4,61,1,23,2019,Lake Erie College
Dustin Shoaf,2,23,0,17,2019,Lake Erie College
Garrett Owens,2,19,0,10,2019,Lake Erie College
Clay Waldron,2,17,0,12,2019,Lake Erie College
Nick Altavilla,1,9,0,9,2019,Lake Erie College
Cortez Watson,1,0,0,0,2019,Lake Erie College
Austin Hence,6,111,1,32,2019,Shepherd University
Clay Waldron,5,96,0,45,2019,Shepherd University
Dustin Shoaf,3,43,0,29,2019,Shepherd University
Cordell O'Brien,1,28,0,28,2019,Shepherd University
Garrett Owens,2,16,0,15,2019,Shepherd University
Joe Carbone,1,8,0,8,2019,Shepherd University
Cortez Watson,1,5,0,5,2019,Shepherd University
Nick Altavilla,1,4,0,4,2019,Shepherd University
Clay Waldron,2,43,0,29,2019,Bloomsburg University
Cordell O'Brien,1,43,0,43,2019,Bloomsburg University
Garrett Owens,2,31,0,27,2019,Bloomsburg University
Jason Armstrong,3,28,2,13,2019,Bloomsburg University
Nick Altavilla,1,25,0,25,2019,Bloomsburg University
Dustin Shoaf,2,24,0,15,2019,Bloomsburg University
Marcus Placke,2,9,0,5,2019,Bloomsburg University
Cortez Watson,1,5,0,5,2019,Bloomsburg University
Garrett Owens,5,85,1,33,2019,Indiana University of Pennsylvania
Cortez Watson,3,50,1,25,2019,Indiana University of Pennsylvania
Dustin Shoaf,2,26,0,23,2019,Indiana University of Pennsylvania
Jason Armstrong,3,25,1,11,2019,Indiana University of Pennsylvania
Austin Hence,1,18,0,18,2019,Indiana University of Pennsylvania
Doug Altavilla,1,10,0,10,2019,Indiana University of Pennsylvania
Nick Altavilla,1,9,0,9,2019,Indiana University of Pennsylvania
Grayson Taylor,1,8,0,8,2019,Indiana University of Pennsylvania
Garrett Owens,5,54,1,41,2019,Slippery Rock University
Clay Waldron,3,46,0,27,2019,Slippery Rock University
Cortez Watson,3,28,0,23,2019,Slippery Rock University
Marcus Placke,2,11,0,7,2019,Slippery Rock University
Jason Armstrong,2,11,0,9,2019,Slippery Rock University
Nick Altavilla,2,10,0,7,2019,Slippery Rock University
DaQuan Isom,2,7,0,5,2019,Slippery Rock University
Qadry Ismail,1,7,0,7,2019,Slippery Rock University
Jason Armstrong,5,68,1,22,2019,Edinboro University of Pennsylvania
Cortez Watson,4,55,1,18,2019,Edinboro University of Pennsylvania
Marcus Placke,4,44,0,38,2019,Edinboro University of Pennsylvania
Dustin Shoaf,2,21,0,14,2019,Edinboro University of Pennsylvania
Doug Altavilla,1,16,0,16,2019,Edinboro University of Pennsylvania
Cordell O'Brien,1,15,0,15,2019,Edinboro University of Pennsylvania
Garrett Owens,2,-1,0,2,2019,Edinboro University of Pennsylvania
Clay Waldron,3,70,1,42,2019,Seton Hill University (Pa.)
Nick Altavilla,5,69,0,25,2019,Seton Hill University (Pa.)
Marcus Placke,4,41,0,18,2019,Seton Hill University (Pa.)
Garrett Owens,3,19,0,10,2019,Seton Hill University (Pa.)
Dustin Shoaf,2,10,0,8,2019,Seton Hill University (Pa.)
Cordell O'Brien,1,7,0,7,2019,Seton Hill University (Pa.)
Cordell O'Brien,1,50,0,50,2019,California University of Pennsylvania
Nick Altavilla,5,35,1,9,2019,California University of Pennsylvania
Jason Armstrong,2,21,1,14,2019,California University of Pennsylvania
Marcus Placke,2,15,0,10,2019,California University of Pennsylvania
Clay Waldron,2,14,0,8,2019,California University of Pennsylvania
Dustin Shoaf,1,10,0,10,2019,California University of Pennsylvania
Cortez Watson,1,9,0,9,2019,California University of Pennsylvania
Garrett Owens,2,7,0,4,2019,California University of Pennsylvania
Clay Waldron,6,182,1,80,2019,Gannon University
Garrett Owens,5,77,0,67,2019,Gannon University
Jason Armstrong,3,48,0,27,2019,Gannon University
Dustin Shoaf,2,16,0,15,2019,Gannon University
Nick Altavilla,2,12,1,14,2019,Gannon University
Cortez Watson,1,10,0,10,2019,Gannon University
Cordell O'Brien,1,10,0,10,2019,Gannon University
Marcus Placke,2,47,1,34,2019,Clarion University
Dustin Shoaf,3,40,0,24,2019,Clarion University
Jason Armstrong,3,32,1,14,2019,Clarion University
Garrett Owens,2,26,0,21,2019,Clarion University
Clay Waldron,1,0,0,0,2019,Clarion University
Dustin Shoaf,4,38,1,14,2019,Millersville University
Joe Carbone,3,34,0,27,2019,Millersville University
Nick Altavilla,3,21,0,12,2019,Millersville University
Clay Waldron,2,15,0,12,2019,Millersville University
Cortez Watson,2,11,0,8,2019,Millersville University
Marcus Placke,1,11,0,11,2019,Millersville University
Garrett Owens,1,9,0,9,2019,Millersville University
"Davison,Rylan",7,96,0,24,2021,Alderson Broaddus University
"Armstrong,Jason",5,55,0,21,2021,Alderson Broaddus University
"Barmore,Cameron",4,44,0,22,2021,Alderson Broaddus University
"Banas,Sean",3,21,1,11,2021,Alderson Broaddus University
"Tate,Trevon",1,19,0,19,2021,Alderson Broaddus University
"Hill,Justin",1,15,0,15,2021,Alderson Broaddus University
"Shoaf,Dustin",1,13,0,13,2021,Alderson Broaddus University
"Cooper,Diondre",1,8,0,8,2021,Alderson Broaddus University
"Fisher,Ryan",1,3,0,3,2021,Alderson Broaddus University
"Hill,Justin",3,29,0,14,2021,West Chester
"Barmore,Cameron",2,28,0,20,2021,West Chester
"Davison,Rylan",4,23,0,10,2021,West Chester
"Shoaf,Dustin",1,12,0,12,2021,West Chester
"Armstrong,Jason",3,10,1,11,2021,West Chester
"Burris,Makai",1,9,0,9,2021,West Chester
"Tate,Trevon",1,9,0,9,2021,West Chester
"Lowery,Michael",1,3,0,3,2021,West Chester
"Fisher,Ryan",0,0,0,0,2021,West Chester
Jason Armstrong,4,68,0,33,2021,East Stroudsburg
Cameron Barmore,3,55,1,27,2021,East Stroudsburg
Makai Burris,1,11,0,11,2021,East Stroudsburg
Trevon Tate,1,11,0,11,2021,East Stroudsburg
Ayron Rodriguez,3,10,0,10,2021,East Stroudsburg
Zack Helsley,1,3,0,3,2021,East Stroudsburg
Chawntez Moss,1,1,0,1,2021,East Stroudsburg
Dustin Shoaf,2,-4,0,0,2021,East Stroudsburg
"Barmore,Cameron",3,45,0,35,2021,Indiana University of Pennsylvania (Homecoming)
"Hill,Justin",3,44,0,24,2021,Indiana University of Pennsylvania (Homecoming)
"Armstrong,Jason",3,32,0,13,2021,Indiana University of Pennsylvania (Homecoming)
"Cooper,Diondre",3,26,0,13,2021,Indiana University of Pennsylvania (Homecoming)
"Burris,Makai",5,23,0,7,2021,Indiana University of Pennsylvania (Homecoming)
"Tate,Trevon",3,22,0,9,2021,Indiana University of Pennsylvania (Homecoming)
"Rodriguez,Ayron",3,16,1,17,2021,Indiana University of Pennsylvania (Homecoming)
"Alize,David",1,6,0,6,2021,Indiana University of Pennsylvania (Homecoming)
"Fisher,Ryan",1,5,0,5,2021,Indiana University of Pennsylvania (Homecoming)
"Shoaf,Dustin",1,2,0,2,2021,Indiana University of Pennsylvania (Homecoming)
"Yohman,Jacob",1,1,0,1,2021,Indiana University of Pennsylvania (Homecoming)
"Beattie,Griffin",0,0,0,0,2021,Indiana University of Pennsylvania (Homecoming)
Jason Armstrong,5,27,0,13,2021,California University of Pennsylvania
Zack Helsley,3,22,0,11,2021,California University of Pennsylvania
Cameron Barmore,2,21,0,16,2021,California University of Pennsylvania
Justin Hill Jr.,3,15,0,10,2021,California University of Pennsylvania
Dustin Shoaf,2,5,0,6,2021,California University of Pennsylvania
Diondre Cooper,1,5,0,5,2021,California University of Pennsylvania
Makai Burris,1,4,0,4,2021,California University of Pennsylvania
"Tate,Trevon",1,68,1,68,2021,Seton Hill University
"Hill,Justin",2,34,1,28,2021,Seton Hill University
"Carter,Joe",1,20,0,20,2021,Seton Hill University
"Barmore,Cameron",1,9,0,9,2021,Seton Hill University
"Moss,Chawntez",1,7,0,7,2021,Seton Hill University
"Cooper,Diondre",1,4,0,4,2021,Seton Hill University
"Davison,Rylan",2,3,0,2,2021,Seton Hill University
"Armstrong,Jason",0,0,0,0,2021,Seton Hill University
"Banas,Sean",0,0,0,0,2021,Seton Hill University
"Burris,Makai",0,0,0,0,2021,Seton Hill University
"Barmore,Cameron",6,106,1,26,2021,Edinboro University of Pennsylvania
"Armstrong,Jason",6,74,1,31,2021,Edinboro University of Pennsylvania
"Davison,Rylan",2,43,0,31,2021,Edinboro University of Pennsylvania
"Burris,Makai",2,40,1,30,2021,Edinboro University of Pennsylvania
"Hill,Justin",2,16,0,9,2021,Edinboro University of Pennsylvania
"Alize,David",2,15,0,12,2021,Edinboro University of Pennsylvania
"Yohman,Jacob",1,13,0,13,2021,Edinboro University of Pennsylvania
"Banas,Sean",1,3,0,3,2021,Edinboro University of Pennsylvania
"Shoaf,Dustin",0,0,0,0,2021,Edinboro University of Pennsylvania
"Cooper,Diondre",0,0,0,0,2021,Edinboro University of Pennsylvania
"Davison,Rylan",2,33,0,18,2021,Slippery Rock University
"Armstrong,Jason",6,32,1,11,2021,Slippery Rock University
"Barmore,Cameron",3,24,0,10,2021,Slippery Rock University
"Hill,Justin",2,18,0,12,2021,Slippery Rock University
"Shoaf,Dustin",1,3,0,3,2021,Slippery Rock University
"Alize,David",1,1,0,1,2021,Slippery Rock University
"Burris,Makai",0,0,0,0,2021,Slippery Rock University
"Yohman,Jacob",0,0,0,0,2021,Slippery Rock University
"Tate,Trevon",0,0,0,0,2021,Slippery Rock University
"Davison,Rylan",5,58,1,26,2021,Clarion University
"Armstrong,Jason",2,55,1,34,2021,Clarion University
"Tate,Trevon",3,27,0,14,2021,Clarion University
"Shoaf,Dustin",1,24,0,24,2021,Clarion University
"Barmore,Cameron",1,23,1,23,2021,Clarion University
"Burris,Makai",2,12,0,7,2021,Clarion University
"Hill,Justin",1,3,0,3,2021,Clarion University
"Cooper,Diondre",0,0,0,0,2021,Clarion University
Makai Burris,4,129,0,50,2021,Shippensburg University
Justin Hill Jr.,3,40,0,30,2021,Shippensburg University
Cameron Barmore,3,38,1,16,2021,Shippensburg University
Jason Armstrong,2,32,0,23,2021,Shippensburg University
Dustin Shoaf,1,12,0,12,2021,Shippensburg University
Rylan Davison,1,12,0,12,2021,Shippensburg University
David Alize,1,0,0,0,2021,Shippensburg University
Trevon Tate,2,46,1,35,2022,Alderson Broaddus University
Cameron Barmore,2,40,1,30,2022,Alderson Broaddus University
Diondre Cooper,3,31,0,12,2022,Alderson Broaddus University
Justin Hill Jr.,1,13,0,13,2022,Alderson Broaddus University
Team,1,9,0,9,2022,Alderson Broaddus University
Dustin Shoaf,1,8,0,8,2022,Alderson Broaddus University
David Alize,1,6,0,6,2022,Alderson Broaddus University
Jason Armstrong,1,5,0,5,2022,Alderson Broaddus University
"Hill,Justin",4,63,0,24,2022,Lock Haven University
"Kerbacher,Joe",2,29,0,20,2022,Lock Haven University
"Alize,David",4,27,0,16,2022,Lock Haven University
"Armstrong,Jason",3,27,0,14,2022,Lock Haven University
"Cooper,Diondre",1,25,0,25,2022,Lock Haven University
"Tate,Trevon",1,24,1,24,2022,Lock Haven University
"Burris,Makai",1,21,0,21,2022,Lock Haven University
"Mizgorski,Darin",0,0,0,0,2022,Lock Haven University
"Barmore,Cameron",1,-2,0,0,2022,Lock Haven University
"Shoaf,Dustin",1,-2,0,0,2022,Lock Haven University
"Barmore,Cameron",4,46,0,21,2022,Kutztown University
"Kerbacher,Joe",1,30,1,30,2022,Kutztown University
"Hill,Justin",2,14,1,8,2022,Kutztown University
"Cooper,Diondre",3,12,0,7,2022,Kutztown University
"Alize,David",3,10,0,9,2022,Kutztown University
"Yohman,Jacob",1,5,0,5,2022,Kutztown University
"Mizgorski,Darin",1,4,0,4,2022,Kutztown University
"Armstrong,Jason",0,0,0,0,2022,Kutztown University
"Rodriguez,Ayron",0,0,0,0,2022,Kutztown University
"Tate,Trevon",0,0,0,0,2022,Kutztown University
"Barmore,Cameron",3,72,0,47,2022,Indiana University of Pennsylvania
"Armstrong,Jason",3,40,1,35,2022,Indiana University of Pennsylvania
"Hill,Justin",2,31,0,17,2022,Indiana University of Pennsylvania
"Burris,Makai",2,22,0,15,2022,Indiana University of Pennsylvania
"Mizgorski,Darin",1,11,1,11,2022,Indiana University of Pennsylvania
"Alize,David",1,4,0,4,2022,Indiana University of Pennsylvania
"Cooper,Diondre",1,1,0,1,2022,Indiana University of Pennsylvania
"Butera,Jaylen",1,1,0,1,2022,Indiana University of Pennsylvania
"Kerbacher,Joe",0,0,0,0,2022,Indiana University of Pennsylvania
"Shoaf,Dustin",2,-4,0,0,2022,Indiana University of Pennsylvania
"Mizgorski,Darin",1,33,0,33,2022,Edinboro University of Pennsylvania
"Armstrong,Jason",5,32,0,9,2022,Edinboro University of Pennsylvania
"Tate,Trevon",3,26,0,14,2022,Edinboro University of Pennsylvania
"Cooper,Diondre",2,13,0,8,2022,Edinboro University of Pennsylvania
"Shoaf,Dustin",1,10,0,10,2022,Edinboro University of Pennsylvania
"Kerbacher,Joe",1,9,0,9,2022,Edinboro University of Pennsylvania
"Barmore,Cameron",0,0,0,0,2022,Edinboro University of Pennsylvania
"Hill,Justin",0,0,0,0,2022,Edinboro University of Pennsylvania
"Burris,Makai",0,0,0,0,2022,Edinboro University of Pennsylvania
Trevon Tate,5,95,0,48,2022,Slippery Rock University
Justin Hill Jr.,7,76,0,15,2022,Slippery Rock University
Makai Burris,3,41,0,30,2022,Slippery Rock University
Cameron Barmore,2,10,1,6,2022,Slippery Rock University
Darin Mizgorski,2,10,0,5,2022,Slippery Rock University
Jason Armstrong,1,9,0,9,2022,Slippery Rock University
Jaylen Butera,1,6,0,6,2022,Slippery Rock University
Diondre Cooper,1,2,0,2,2022,Slippery Rock University
Joe Kerbacher,1,-7,0,0,2022,Slippery Rock University
"Barmore,Cameron",5,94,2,45,2022,Clarion University
"Holl,Jacob",1,19,0,19,2022,Clarion University
"Tate,Trevon",2,17,0,9,2022,Clarion University
"Cooper,Diondre",1,8,0,8,2022,Clarion University
"Shoaf,Dustin",1,4,0,4,2022,Clarion University
"Alize,David",1,3,0,3,2022,Clarion University
"Mizgorski,Darin",0,0,0,0,2022,Clarion University
"Tate, Trevon",7,63,0,28,2022,Gannon University
"Kerbacher, Joe",2,46,2,40,2022,Gannon University
"Barmore, Camero",2,25,0,17,2022,Gannon University
"Butera, Jaylen",3,19,0,16,2022,Gannon University
"Mizgorski, Dari",1,8,0,8,2022,Gannon University
"Hill, Justin",1,6,0,6,2022,Gannon University
"Burris, Makai",1,6,0,6,2022,Gannon University
"Cerminara, Roma",1,4,0,4,2022,Gannon University
"Barmore,Cameron",5,117,2,59,2022,California University of Pennsylvania
"Tate,Trevon",5,106,1,49,2022,California University of Pennsylvania
"Kerbacher,Joe",3,12,0,11,2022,California University of Pennsylvania
"Hill,Justin",1,9,0,9,2022,California University of Pennsylvania
"Mizgorski,Darin",1,4,0,4,2022,California University of Pennsylvania
"Burris,Makai",0,0,0,0,2022,California University of Pennsylvania
"Butera,Jaylen",0,0,0,0,2022,California University of Pennsylvania
"Bishop,Elias",0,0,0,0,2022,California University of Pennsylvania
"Alize,David",1,-2,0,0,2022,California University of Pennsylvania
"Cooper,Diondre",1,-2,0,0,2022,California University of Pennsylvania
"Barmore, Camero",3,61,0,31,2022,Seton Hill University
"Hill, Justin",3,33,0,17,2022,Seton Hill University
"Mizgorski, Dari",3,23,0,17,2022,Seton Hill University
"Cooper, Diondre",3,18,0,11,2022,Seton Hill University
"Kerbacher, Joe",2,13,0,12,2022,Seton Hill University
"Tate, Trevon",3,12,0,11,2022,Seton Hill University
"Banas, Sean",1,2,0,2,2022,Seton Hill University
"Barmore,Cameron",7,120,0,36,2022,Bloomsburg University
"Kerbacher,Joe",3,24,0,13,2022,Bloomsburg University
"Alize,David",3,14,0,5,2022,Bloomsburg University
"Mizgorski,Darin",3,12,0,6,2022,Bloomsburg University
"Banas,Sean",1,6,0,6,2022,Bloomsburg University
"Hill,Justin",1,5,0,5,2022,Bloomsburg University
"Tate,Trevon",1,4,0,4,2022,Bloomsburg University
"Kerbacher,Joe",5,72,0,26,2023,Lock Haven University
"Barmore,Cameron",6,70,3,22,2023,Lock Haven University
"Shoaf,Dustin",2,38,0,24,2023,Lock Haven University
"Davison,Rylan",3,34,1,16,2023,Lock Haven University
"Butera,Jaylen",4,31,1,18,2023,Lock Haven University
"Tate,Trevon",2,29,0,20,2023,Lock Haven University
"Mizgorski,Darin",2,15,0,11,2023,Lock Haven University
"Alize,David",2,14,0,10,2023,Lock Haven University
"Black,Braydon",1,7,0,7,2023,Lock Haven University
"Urena,Austin",1,3,0,3,2023,Lock Haven University
"Urena,Austin",4,78,0,35,2023,Kutztown University
"Tate,Trevon",4,72,1,30,2023,Kutztown University
"Mechley,Ryan",3,55,0,22,2023,Kutztown University
"Davison,Rylan",4,23,0,9,2023,Kutztown University
"Kerbacher,Joe",1,13,0,13,2023,Kutztown University
"Alize,David",4,11,0,10,2023,Kutztown University
"Barmore,Cameron",1,11,0,11,2023,Kutztown University
"Pytlak,Russell",1,9,0,9,2023,Kutztown University
"Mizgorski,Darin",1,5,1,5,2023,Kutztown University
"Shoaf,Dustin",1,2,0,2,2023,Kutztown University
"Rodriguez,Ayron",0,0,0,0,2023,Kutztown University
"Black,Braydon",0,0,0,0,2023,Kutztown University
"Butera,Jaylen",0,0,0,0,2023,Kutztown University
"Davison,Rylan",5,77,2,39,2023,RVIndiana University of Pennsylvania
"Tate,Trevon",3,23,0,18,2023,RVIndiana University of Pennsylvania
"Mizgorski,Darin",1,16,0,16,2023,RVIndiana University of Pennsylvania
"Kerbacher,Joe",2,15,0,8,2023,RVIndiana University of Pennsylvania
"Rodriguez,Ayron",2,14,0,9,2023,RVIndiana University of Pennsylvania
"Urena,Austin",1,6,0,6,2023,RVIndiana University of Pennsylvania
"Mechley,Ryan",1,5,0,5,2023,RVIndiana University of Pennsylvania
"Butera,Jaylen",0,0,0,0,2023,RVIndiana University of Pennsylvania
"Butera,Jaylen",5,89,0,66,2023,Edinboro University of Pennsylvania
"Kerbacher,Joe",5,68,0,22,2023,Edinboro University of Pennsylvania
"Davison,Rylan",5,62,1,28,2023,Edinboro University of Pennsylvania
"Barmore,Cameron",4,51,0,26,2023,Edinboro University of Pennsylvania
"Mizgorski,Darin",3,26,0,18,2023,Edinboro University of Pennsylvania
"Urena,Austin",1,12,1,12,2023,Edinboro University of Pennsylvania
"Black,Braydon",1,9,0,9,2023,Edinboro University of Pennsylvania
"Kerbacher,Joe",7,103,0,26,2023,#10Slippery Rock University
"Butera,Jaylen",5,43,0,18,2023,#10Slippery Rock University
"Black,Braydon",5,27,1,9,2023,#10Slippery Rock University
"Mechley,Ryan",1,20,0,20,2023,#10Slippery Rock University
"Urena,Austin",1,3,0,3,2023,#10Slippery Rock University
"Mizgorski,Darin",1,2,0,2,2023,#10Slippery Rock University
"Barmore,Cameron",0,0,0,0,2023,#10Slippery Rock University
"Banas,Sean",0,0,0,0,2023,#10Slippery Rock University
"Pappas,Mike",1,-1,0,0,2023,#10Slippery Rock University
"Black,Braydon",3,63,0,33,2023,Clarion University
"Urena,Austin",5,63,1,29,2023,Clarion University
"Mizgorski,Darin",4,47,0,26,2023,Clarion University
"Kerbacher,Joe",3,20,1,10,2023,Clarion University
"Banas,Sean",1,6,1,6,2023,Clarion University
"Butera,Jaylen",2,0,0,2,2023,Clarion University
"Kerbacher,Joe",4,91,1,57,2023,Gannon University
"Black,Braydon",4,61,1,43,2023,Gannon University
"Urena,Austin",5,49,0,15,2023,Gannon University
"Shoaf,Dustin",1,24,1,24,2023,Gannon University
"Mizgorski,Darin",3,21,0,10,2023,Gannon University
"Rodriguez,Ayron",1,-4,0,0,2023,Gannon University
"Kerbacher, Joe",8,116,2,39,2023,California University of Pennsylvania
"Urena, Austin",3,31,0,16,2023,California University of Pennsylvania
"Beattie, Griffi",1,12,0,12,2023,California University of Pennsylvania
"Banas, Sean",1,11,0,11,2023,California University of Pennsylvania
"Black, Braydon",1,4,0,4,2023,California University of Pennsylvania
"Miller, Ryan",1,3,0,3,2023,California University of Pennsylvania
"Mizgorski,Darin",7,71,0,29,2023,Seton Hill University
"Kerbacher,Joe",3,39,0,21,2023,Seton Hill University
"Urena,Austin",5,36,0,22,2023,Seton Hill University
"Black,Braydon",2,31,0,21,2023,Seton Hill University
"Davis,Chaz",3,55,0,28,2024,Howard University
"Kerbacher,Joe",7,53,0,31,2024,Howard University
"Davison,Rylan",4,41,1,15,2024,Howard University
"Barmore,Cameron",2,35,2,22,2024,Howard University
"Pytlak,Russell",3,31,0,12,2024,Howard University
"Vazquez,Alejandro",1,10,0,10,2024,Howard University
"Davis,Earnest",2,6,0,7,2024,Howard University
"Rodriguez,Ayron",1,2,0,2,2024,Howard University
"Urena,Austin",0,0,0,0,2024,Howard University
"Barmore,Cameron",9,98,2,25,2024,Robert Morris University
"Davis,Earnest",4,38,0,24,2024,Robert Morris University
"Davison,Rylan",2,27,0,16,2024,Robert Morris University
"Urena,Austin",2,11,0,6,2024,Robert Morris University
"Kerbacher,Joe",3,10,0,5,2024,Robert Morris University
"Wright-Rawls,Taylor",1,8,0,8,2024,Robert Morris University
"Davis,Chaz",2,8,0,8,2024,Robert Morris University
"Trobel,Brian",1,6,0,6,2024,Robert Morris University
"Melendez,Colin",1,4,0,4,2024,Robert Morris University
"Black,Braydon",0,0,0,0,2024,Robert Morris University
"Rodriguez,Ayron",2,-6,0,2,2024,Robert Morris University
"Barmore,Cameron",7,95,0,26,2024,Montana State University
"Davis,Chaz",5,31,0,11,2024,Montana State University
"Pappas,Mike",2,23,0,16,2024,Montana State University
"Wright-Rawls,Taylor",2,22,0,15,2024,Montana State University
"Kerbacher,Joe",6,20,1,6,2024,Montana State University
"Rodriguez,Ayron",1,11,0,11,2024,Montana State University
"Vazquez,Alejandro",2,11,0,10,2024,Montana State University
"Melendez,Colin",1,5,0,5,2024,Montana State University
"Burchard,Sam",1,1,0,1,2024,Montana State University
"Davison,Rylan",0,0,0,0,2024,Montana State University
"Black,Braydon",0,0,0,0,2024,Montana State University
"Trobel,Brian",1,-6,0,0,2024,Montana State University
"Davis,Chaz",3,67,0,29,2024,Frostburg State University
"Trobel,Brian",1,35,1,35,2024,Frostburg State University
"Kerbacher,Joe",4,34,0,20,2024,Frostburg State University
"Barmore,Cameron",4,28,0,15,2024,Frostburg State University
"Davison,Rylan",1,28,0,28,2024,Frostburg State University
"Urena,Austin",2,17,0,13,2024,Frostburg State University
"Rodriguez,Ayron",1,10,1,10,2024,Frostburg State University
"Melendez,Colin",1,6,0,6,2024,Frostburg State University
"Black,Braydon",1,2,0,2,2024,Frostburg State University
"Vazquez,Alejandro",0,0,0,0,2024,Frostburg State University
"Urena,Austin",5,77,1,41,2024,Buffalo State
"Black,Braydon",4,66,2,42,2024,Buffalo State
"Davis,Chaz",5,61,1,23,2024,Buffalo State
"Barmore,Cameron",3,52,2,19,2024,Buffalo State
"Davison,Rylan",3,50,1,39,2024,Buffalo State
"Lattimore,Amare",2,21,0,17,2024,Buffalo State
"Rodriguez,Ayron",3,21,0,8,2024,Buffalo State
"Pytlak,Russell",2,12,0,9,2024,Buffalo State
"Vazquez,Alejandro",1,3,0,3,2024,Buffalo State
"Melendez,Colin",0,0,0,0,2024,Buffalo State
"Barmore,Cameron",9,96,0,21,2024,Sacred Heart University
"Davis,Chaz",5,34,0,19,2024,Sacred Heart University
"Urena,Austin",3,29,1,12,2024,Sacred Heart University
"Davison,Rylan",3,25,0,12,2024,Sacred Heart University
"Rodriguez,Ayron",2,16,1,9,2024,Sacred Heart University
"Pytlak,Russell",2,15,0,9,2024,Sacred Heart University
"Melendez,Colin",1,14,0,14,2024,Sacred Heart University
"Trobel,Brian",0,0,0,0,2024,Sacred Heart University
"Hill,Jaiden",0,0,0,0,2024,Sacred Heart University
"Vazquez,Alejandro",0,0,0,0,2024,Sacred Heart University
"Lattimore,Amare",0,0,0,0,2024,Sacred Heart University
"Davison,Rylan",14,152,2,30,2024,Duquesne University
"Barmore,Cameron",8,86,1,20,2024,Duquesne University
"Urena,Austin",7,46,0,15,2024,Duquesne University
"Pytlak,Russell",4,32,0,18,2024,Duquesne University
"Askew,Jordan",2,23,0,15,2024,Duquesne University
"Rodriguez,Ayron",1,4,0,4,2024,Duquesne University
"Pappas,Mike",2,2,0,4,2024,Duquesne University
"Black,Braydon",0,0,0,0,2024,Duquesne University
"Barmore,Cameron",5,87,2,28,2024,Lincoln University
"Davison,Rylan",2,66,1,61,2024,Lincoln University
"Urena,Austin",1,29,1,29,2024,Lincoln University
"Kerbacher,Joe",3,27,1,14,2024,Lincoln University
"Pappas,Mike",2,11,2,8,2024,Lincoln University
"Askew,Jordan",1,10,0,10,2024,Lincoln University
"Black,Braydon",1,9,0,9,2024,Lincoln University
"Trobel,Brian",1,5,0,5,2024,Lincoln University
