player,receptions,receiving_yards,receiving_tds,long_reception,year,opponent
Jeff Groene,2,16,1,12,2013,Gannon University
Jaquan Williams,2,33,0,23,2013,Indiana University of Pennsylvania
Richie Sanders,2,19,0,11,2013,Indiana University of Pennsylvania
S. Yarbrough,1,5,0,5,2013,Indiana University of Pennsylvania
B. Brown-Dukes,2,1,0,1,2013,Indiana University of Pennsylvania
S. Yarbrough,1,61,1,61,2013,Edinboro University
Jaquan Williams,1,8,0,8,2013,Edinboro University
R.J. Miller,1,7,0,7,2013,Edinboro University
Jeff Groene,1,5,0,5,2013,Edinboro University
Allen Jones II,2,4,0,3,2013,Edinboro University
Richie Sanders,1,2,0,2,2013,Edinboro University
Jaquan Williams,3,29,0,15,2013,California University of Pennsylvania
Vladmir Rock,2,25,0,14,2013,California University of Pennsylvania
R.J. Miller,2,25,0,13,2013,California University of Pennsylvania
Allen Jones II,2,13,0,7,2013,California University of Pennsylvania
Stephen Yarbrough,1,7,0,7,2013,California University of Pennsylvania
Jaquan Williams,5,76,0,30,2013,East Stroudsburg University
Jeff Groene,3,52,0,29,2013,East Stroudsburg University
Richie Sanders,1,22,0,22,2013,East Stroudsburg University
Vladmir Rock,1,15,0,15,2013,East Stroudsburg University
John Matarazzo,1,10,0,10,2013,East Stroudsburg University
R.J. Miller,1,6,0,6,2013,East Stroudsburg University
Matt Hyland,1,4,1,4,2013,East Stroudsburg University
B. Brown-Dukes,1,0,0,0,2013,East Stroudsburg University
Jaquan Williams,1,37,0,37,2014,Bentley University
John Matarazzo,3,25,0,13,2014,Bentley University
R.J. Miller,2,18,0,14,2014,Bentley University
Brad Novak,3,13,0,5,2014,Bentley University
T.J. Latimer,3,9,1,7,2014,Bentley University
Brandon Brown-Dukes,2,4,0,4,2014,Bentley University
Jaquan Williams,3,75,1,34,2014,West Chester University of Pennsylvania
Dylan Bongiorni,3,45,0,19,2014,West Chester University of Pennsylvania
John Matarazzo,3,31,0,14,2014,West Chester University of Pennsylvania
Brad Novak,3,20,0,7,2014,West Chester University of Pennsylvania
Alex Misterman,1,19,0,19,2014,West Chester University of Pennsylvania
R.J. Miller,2,13,0,15,2014,West Chester University of Pennsylvania
T.J. Latimer,0,5,0,0,2014,West Chester University of Pennsylvania
Kyle Briggs,1,4,0,4,2014,West Chester University of Pennsylvania
Brandon Brown-Dukes,1,0,0,0,2014,West Chester University of Pennsylvania
R.J. Miller,6,82,1,28,2014,Bloomsburg University
Jaquan Williams,5,51,1,18,2014,Bloomsburg University
Dylan Bongiorni,2,23,0,18,2014,Bloomsburg University
T.J. Latimer,3,20,0,11,2014,Bloomsburg University
S. Yarbrough,1,16,0,16,2014,Bloomsburg University
B. Brown-Dukes,2,14,0,7,2014,Bloomsburg University
Brad Novak,1,10,0,10,2014,Bloomsburg University
John Matarazzo,1,1,0,1,2014,Bloomsburg University
Jaquan Williams,3,69,0,47,2014,Indiana University of Pennsylvania
R.J. Miller,4,19,0,6,2014,Indiana University of Pennsylvania
Donny Holl,1,17,0,17,2014,Indiana University of Pennsylvania
Brandon Brown-Dukes,2,6,0,8,2014,Indiana University of Pennsylvania
Brad Novak,1,6,0,6,2014,Indiana University of Pennsylvania
Drew Robinson,2,89,1,78,2014,Clarion University
R.J. Miller,3,42,0,21,2014,Clarion University
Brandon Brown-Dukes,2,28,1,19,2014,Clarion University
Andrew Miller,2,28,1,16,2014,Clarion University
Jaquan Williams,2,23,0,12,2014,Clarion University
Stephen Yarbrough,2,16,0,9,2014,Clarion University
Brad Novak,1,15,0,15,2014,Clarion University
Stephen Yarbrough,5,128,1,48,2014,Gannon University
Jaquan Williams,7,109,1,28,2014,Gannon University
T.J. Latimer,5,82,2,32,2014,Gannon University
R.J. Miller,4,55,0,17,2014,Gannon University
