year,opponent,mu_total_first_downs,opp_total_first_downs,mu_rushing_first_downs,opp_rushing_first_downs,mu_passing_first_downs,opp_passing_first_downs,mu_penalty_first_downs,opp_penalty_first_downs,mu_rushing_net,opp_rushing_net,mu_rushing_attempts,opp_rushing_attempts,mu_rushing_tds,opp_rushing_tds,mu_passing_net,opp_passing_net,mu_completions,mu_attempts,mu_passing_ints,opp_completions,opp_attempts,opp_passing_ints,mu_td_passes,opp_td_passes,mu_total_yards,opp_total_yards,mu_plays,opp_plays,mu_fumbles,opp_fumbles,mu_fumbles_lost,opp_fumbles_lost,mu_penalties,opp_penalties,mu_penalty_yards,opp_penalty_yards,mu_punts,opp_punts,mu_punt_yards,opp_punt_yards,mu_punt_avg,opp_punt_avg,mu_punt_returns,opp_punt_returns,mu_punt_return_yards,opp_punt_return_yards,mu_punt_return_tds,opp_punt_return_tds,mu_punt_return_avg,opp_punt_return_avg,mu_kickoff_returns,opp_kickoff_returns,mu_kickoff_return_yards,opp_kickoff_return_yards,mu_kickoff_return_tds,opp_kickoff_return_tds,mu_kickoff_return_avg,opp_kickoff_return_avg,mu_ints,opp_ints,mu_int_return_yards,opp_int_return_yards,mu_int_return_tds,opp_int_return_tds
2013,Seton Hill University,22,21,12,10,8,8,2,3,276,182,41,40,3,2,209,210,14,20,0,21,35,1,3,1,485,392,61,75,0,2,0,0,9,10,75,92,2,4,108,115,54.0,28.75,1,0,5,0,0,0,5.0,0.0,3,6,105,128,0,0,35.0,21.333333333333332,1,0,0,0,0,0
2013,Gannon University,27,17,18,6,8,11,1,0,407,166,55,23,3,1,221,289,10,18,1,16,34,0,3,2,628,455,73,57,1,4,0,2,4,4,35,34,2,6,80,227,40.0,37.833333333333336,2,1,62,18,0,0,31.0,18.0,2,8,51,142,0,0,25.5,17.75,0,1,0,24,0,0
2013,Indiana University of Pennsylvania,16,17,10,10,3,6,3,1,199,207,41,43,0,4,58,103,7,27,2,10,19,0,0,0,257,310,68,62,2,1,0,1,4,9,27,94,4,6,131,190,32.75,31.666666666666668,1,2,1,1,0,0,1.0,0.5,3,1,64,19,0,0,21.333333333333332,19.0,0,2,0,6,0,0
2013,Edinboro University,15,11,11,6,2,4,2,1,266,51,46,38,1,1,87,97,7,16,2,10,26,1,1,0,353,148,62,64,2,2,1,0,6,6,55,59,6,6,203,245,33.833333333333336,40.833333333333336,0,4,0,31,0,0,0.0,7.75,3,3,90,76,0,0,30.0,25.333333333333332,1,2,1,20,0,0
2013,California University of Pennsylvania,19,16,9,7,7,8,3,1,199,121,48,26,2,0,99,190,10,15,0,16,32,3,0,1,298,311,63,58,3,1,1,0,3,6,35,70,4,3,116,131,29.0,43.666666666666664,2,2,8,35,0,1,4.0,17.5,4,5,98,108,0,0,24.5,21.6,3,0,27,0,0,0
2013,East Stroudsburg University,20,16,10,6,9,10,1,0,269,99,44,28,3,3,185,221,14,19,0,18,33,3,1,0,454,320,63,61,1,2,1,0,6,7,45,60,4,5,148,218,37.0,43.6,2,3,26,23,0,0,13.0,7.666666666666667,4,7,155,185,0,0,38.75,26.428571428571427,3,0,7,0,0,0
2014,Bentley University,9,20,4,11,5,8,0,1,44,180,26,47,2,1,106,223,14,24,1,15,22,0,1,2,150,403,50,69,3,0,0,0,4,3,27,15,5,4,194,130,38.8,32.5,3,1,39,0,0,0,13.0,0.0,5,2,177,45,0,0,35.4,22.5,0,1,0,30,0,0
2014,West Chester University of Pennsylvania,10,21,1,4,9,14,0,3,43,112,22,39,0,1,212,306,17,36,1,23,35,1,1,3,255,418,58,74,2,2,0,1,9,7,80,55,7,4,283,139,40.42857142857143,34.75,1,1,4,17,0,0,4.0,17.0,7,2,146,39,0,0,20.857142857142858,19.5,1,1,0,39,0,1
2014,Bloomsburg University,21,11,9,5,12,6,0,0,151,165,40,30,0,2,217,91,21,38,3,14,26,1,2,0,368,256,78,56,3,1,3,1,8,2,59,10,4,4,186,145,46.5,36.25,2,2,61,83,1,1,30.5,41.5,7,2,125,54,0,0,17.857142857142858,27.0,1,3,0,95,0,2
2014,Indiana University of Pennsylvania,10,21,3,7,4,12,3,2,34,215,26,44,1,4,117,168,11,24,0,13,17,1,0,2,151,383,50,61,2,1,2,0,8,7,65,92,7,5,308,187,44.0,37.4,1,2,12,33,0,0,12.0,16.5,6,2,160,50,0,0,26.666666666666668,25.0,1,0,0,0,0,0
