player,completions,attempts,passing_yards,passing_tds,interceptions,long_pass,sacks,year,opponent
Ram Finnegan,2,5,13,0,0,10,0,2016,Edinboro University of Pennsylvania
Brad Novak,0,1,0,0,0,0,0,2016,Edinboro University of Pennsylvania
Doug Altavilla,27,57,406,4,3,42,6,2016,Seton Hill University
TEAM,0,2,0,0,0,0,0,2016,Seton Hill University
Doug Altavilla,15,33,149,0,0,35,6,2016,California University of Pennsylvania
Logan Weaver,3,6,33,0,0,18,0,2016,California University of Pennsylvania
Doug Altavilla,22,37,243,1,2,39,2,2016,Indiana University of Pennsylvania
Doug Altavilla,18,22,243,2,0,39,0,2016,Lock Haven University
Doug Altavilla,16,38,252,1,1,40,3,2017,Hillsdale College
Doug Altavilla,21,34,203,1,0,27,3,2017,Kutztown University
Doug Altavilla,19,30,216,0,3,27,4,2017,East Stroudsburg University
Brad Novak,1,1,61,1,0,61,0,2017,East Stroudsburg University
Doug Altavilla,20,31,224,2,0,38,1,2017,Clarion University
Doug Altavilla,16,26,315,1,0,43,3,2017,Gannon University
Garrett Owens,0,1,0,0,0,0,0,2017,Gannon University
Doug Altavilla,26,40,326,2,0,42,1,2017,Slippery Rock University
Doug Altavilla,25,37,172,1,0,24,2,2017,Edinboro University of Pennsylvania
Doug Altavilla,12,20,131,3,0,19,1,2017,Seton Hill University
Doug Altavilla,20,41,257,1,2,41,1,2017,California University of Pennsylvania
Garrett Owens,1,1,17,0,0,17,0,2017,California University of Pennsylvania
TEAM,0,1,0,0,0,0,0,2017,California University of Pennsylvania
Doug Altavilla,12,24,86,1,3,14,2,2017,Indiana University of Pennsylvania
Ram Finnegan,3,7,47,0,0,17,1,2017,Indiana University of Pennsylvania
TEAM,0,2,0,0,0,0,0,2017,Indiana University of Pennsylvania
Doug Altavilla,11,19,163,2,3,46,2,2017,Lock Haven University
Doug Altavilla,18,34,140,1,1,16,1,2018,Hillsdale College
Doug Altavilla,20,29,205,1,0,25,0,2018,Tiffin University (Ohio)
Garrett Owens,0,1,0,0,0,0,0,2018,Tiffin University (Ohio)
Doug Altavilla,17,28,146,1,1,19,1,2018,Bloomsburg University
Doug Altavilla,12,21,174,0,1,32,5,2018,Indiana University of Pennsylvania
R. Finnegan,0,2,0,0,0,0,0,2018,Indiana University of Pennsylvania
Doug Altavilla,15,31,171,1,1,42,4,2018,Slippery Rock University
Doug Altavilla,15,17,224,2,0,60,4,2018,Edinboro University of Pennsylvania
Garrett Owens,0,1,0,0,0,0,0,2018,Edinboro University of Pennsylvania
Doug Altavilla,14,26,237,2,2,73,1,2018,Seton Hill University
Doug Altavilla,11,25,57,0,4,11,3,2018,California University of Pennsylvania
R. Finnegan,3,8,27,0,0,13,0,2018,California University of Pennsylvania
J. Tarasovitch,0,1,0,0,0,0,0,2018,California University of Pennsylvania
Jacob Holl,0,1,0,0,0,0,0,2018,California University of Pennsylvania
Doug Altavilla,8,14,77,1,0,25,2,2018,Gannon University
TEAM,0,1,0,0,0,0,0,2018,Gannon University
Doug Altavilla,4,14,56,1,1,28,1,2018,Clarion University
Doug Altavilla,12,24,228,3,1,59,3,2018,Millersville University
Doug Altavilla,12,29,129,1,1,23,0,2019,Lake Erie College
Doug Altavilla,13,21,205,0,0,45,1,2019,Shepherd University
Michael Lowery,7,14,106,1,0,26,0,2019,Shepherd University
Garrett Owens,0,1,0,0,0,0,0,2019,Shepherd University
Doug Altavilla,14,25,208,2,2,43,1,2019,Bloomsburg University
Doug Altavilla,13,22,192,3,2,33,3,2019,Indiana University of Pennsylvania
Michael Lowery,3,10,29,0,0,18,1,2019,Indiana University of Pennsylvania
Cortez Watson,1,1,10,0,0,10,0,2019,Indiana University of Pennsylvania
Doug Altavilla,13,23,93,1,2,41,1,2019,Slippery Rock University
Michael Lowery,7,15,81,0,2,27,3,2019,Slippery Rock University
Doug Altavilla,18,27,202,2,1,38,0,2019,Edinboro University of Pennsylvania
Garrett Owens,1,1,16,0,0,16,0,2019,Edinboro University of Pennsylvania
Doug Altavilla,16,30,188,1,2,42,0,2019,Seton Hill University (Pa.)
Michael Lowery,2,2,28,0,0,18,0,2019,Seton Hill University (Pa.)
Doug Altavilla,14,25,104,1,3,14,0,2019,California University of Pennsylvania
Joe Carter,2,3,57,1,0,50,0,2019,California University of Pennsylvania
Doug Altavilla,15,20,312,2,1,80,3,2019,Gannon University
Michael Lowery,5,5,43,0,0,11,1,2019,Gannon University
Doug Altavilla,10,14,121,2,1,34,1,2019,Clarion University
Michael Lowery,1,1,24,0,0,24,0,2019,Clarion University
Doug Altavilla,16,26,139,1,0,27,1,2019,Millersville University
"Lowery,Michael",24,36,274,1,0,24,4,2021,Alderson Broaddus University
"Lowery,Michael",14,23,105,1,1,20,9,2021,West Chester
"Alsobrooks,Brian",2,3,18,0,0,9,1,2021,West Chester
TEAM,0,1,0,0,0,0,0,2021,West Chester
Michael Lowery,16,32,155,1,0,33,2,2021,East Stroudsburg
"Lowery,Michael",18,29,135,1,1,24,1,2021,Indiana University of Pennsylvania (Homecoming)
"Alsobrooks,Brian",8,14,52,0,1,13,1,2021,Indiana University of Pennsylvania (Homecoming)
"Davison,Rylan",1,1,35,0,0,35,0,2021,Indiana University of Pennsylvania (Homecoming)
Joe Carter,12,22,72,0,1,16,2,2021,California University of Pennsylvania
BrianAlsobrooks,4,10,23,0,1,11,2,2021,California University of Pennsylvania
Michael Lowery,1,1,4,0,0,4,1,2021,California University of Pennsylvania
"Carter,Joe",8,21,125,2,1,68,5,2021,Seton Hill University
"Shoaf,Dustin",1,1,20,0,0,20,0,2021,Seton Hill University
"Carter,Joe",22,31,310,3,0,31,3,2021,Edinboro University of Pennsylvania
"Carter,Joe",15,29,111,1,3,18,2,2021,Slippery Rock University
"Carter,Joe",15,25,202,3,1,34,1,2021,Clarion University
Joe Carter,15,31,263,1,0,50,2,2021,Shippensburg University
Michael Lowery,12,27,158,2,3,35,2,2022,Alderson Broaddus University
"Lowery,Michael",16,23,171,1,1,25,1,2022,Lock Haven University
"Carter,Joe",2,2,41,0,0,21,0,2022,Lock Haven University
"Lowery,Michael",13,19,109,1,2,30,1,2022,Kutztown University
"Carter,Joe",2,6,12,1,0,8,0,2022,Kutztown University
"Lowery,Michael",16,28,178,2,0,47,3,2022,Indiana University of Pennsylvania
"Lowery,Michael",8,17,63,0,2,14,1,2022,Edinboro University of Pennsylvania
"Carter,Joe",5,11,60,0,0,33,0,2022,Edinboro University of Pennsylvania
Joe Carter,23,45,242,1,2,48,4,2022,Slippery Rock University
"Carter,Joe",10,17,126,2,4,45,1,2022,Clarion University
