player,solo_tkl,ast_tkl,tot_tkl,tfl,tfl_yards,sacks,sack_yards,FF,FR,FR_yards,interceptions,pbu,blks,QBH,year,opponent
Thomas Higgins III,3,1,4,0,0,0,0,0,0,0,0,0,0,0,2015,West Chester University of Pennsylvania
Zach Smith,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2015,West Chester University of Pennsylvania
Benji Abercrombie,2,1,3,1.0,1,0,0,0,0,0,0,0,0,1,2015,West Chester University of Pennsylvania
Ben Young,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2015,West Chester University of Pennsylvania
Dorian Stevens,1,1,2,0,0,0,0,0,0,0,1-1,0,0,0,2015,West Chester University of Pennsylvania
Ryan Carroll,1,1,2,0,0,0,0,0,0,0,0,0,0,1,2015,West Chester University of Pennsylvania
Theophilus Blackston,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2015,West Chester University of Pennsylvania
Kyle Briggs,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,West Chester University of Pennsylvania
T.J. Latimer,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,West Chester University of Pennsylvania
Dylan Bongiorni,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2015,West Chester University of Pennsylvania
Bryce Mostoller,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,West Chester University of Pennsylvania
Dylan Kondis,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2015,West Chester University of Pennsylvania
Tarique Ellis,10,3,13,0,0,0,0,0,0,0,0,0,0,0,2015,Bloomsburg University
Joe Dever,7,5,12,1.0,2,0,0,0,0,0,2-11,0,0,0,2015,Bloomsburg University
Jakob Plonski,9,2,11,1.0,2,0,0,0,0,0,0,0,0,0,2015,Bloomsburg University
Bruno Natter,6,2,8,0,0,0,0,0,0,0,0,0,0,0,2015,Bloomsburg University
Rocky Owens,6,1,7,1.0,11,1.0,11,0,0,0,0,0,0,0,2015,Bloomsburg University
Dorian Stevens,4,2,6,0,0,0,0,0,0,0,0,1,0,0,2015,Bloomsburg University
Tevin Stewart,4,1,5,0,0,0,0,0,0,0,0,0,0,0,2015,Bloomsburg University
Thomas Higgins III,3,2,5,0,0,0,0,0,0,0,0,0,0,0,2015,Bloomsburg University
"Keith Robinson, Jr.",1,3,4,0,0,0,0,0,0,0,0,1,0,0,2015,Bloomsburg University
Martin Oduho,3,1,4,0,0,0,0,0,0,0,0,0,0,0,2015,Bloomsburg University
Ryan Carroll,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2015,Bloomsburg University
Conall Ryan,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2015,Bloomsburg University
Austin Drew,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2015,Bloomsburg University
Theophilus Blackston,2,0,2,1.0,3,0,0,0,0,0,0,0,0,0,2015,Bloomsburg University
Benji Abercrombie,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2015,Bloomsburg University
Dante Redwood,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,Bloomsburg University
Trae Williams,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,Bloomsburg University
T.J. Latimer,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2015,Bloomsburg University
Fernando Frye,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,Bloomsburg University
Dylan Bongiorni,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2015,Bloomsburg University
James Karasek,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,Bloomsburg University
"K. Robinson, Jr",5,4,9,0,0,0,0,0,0,0,0,1,0,0,2015,Indiana University of Pennsylvania
Tarique Ellis,5,4,9,0,0,0,0,0,0,0,0,0,0,0,2015,Indiana University of Pennsylvania
Dorian Stevens,4,4,8,0,0,0,0,0,1,0,0,0,0,0,2015,Indiana University of Pennsylvania
Joe Dever,3,5,8,1.0,1,0,0,0,0,0,0,0,0,0,2015,Indiana University of Pennsylvania
Jakob Plonski,2,4,6,1.0,5,0,0,0,0,0,0,0,0,0,2015,Indiana University of Pennsylvania
James Karasek,4,2,6,1.0,1,0,0,0,0,0,0,0,0,0,2015,Indiana University of Pennsylvania
Tevin Stewart,2,3,5,0,0,0,0,0,0,0,0,0,0,0,2015,Indiana University of Pennsylvania
Rocky Owens,2,3,5,0,0,0,0,0,0,0,0,0,0,0,2015,Indiana University of Pennsylvania
Bruno Natter,2,3,5,0,0,0,0,0,0,0,0,0,0,0,2015,Indiana University of Pennsylvania
Kyle Briggs,2,1,3,0,0,0,0,0,0,0,0,0,0,0,2015,Indiana University of Pennsylvania
T. Higgins III,1,2,3,0,0,0,0,1,0,0,0,0,0,1,2015,Indiana University of Pennsylvania
T. Blackston,0,3,3,0,0,0,0,0,0,0,0,0,0,1,2015,Indiana University of Pennsylvania
Ben Young,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2015,Indiana University of Pennsylvania
Chris Peluso,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2015,Indiana University of Pennsylvania
Ryan Carroll,1,1,2,1.0,1,0,0,0,0,0,0,0,0,0,2015,Indiana University of Pennsylvania
B. Abercrombie,0,2,2,0,0,0,0,0,0,0,0,0,0,1,2015,Indiana University of Pennsylvania
Dante Redwood,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2015,Indiana University of Pennsylvania
B. Brown-Dukes,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,Indiana University of Pennsylvania
Drew Robinson,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,Indiana University of Pennsylvania
Trae Williams,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,Indiana University of Pennsylvania
Tarique Ellis,7,2,9,0,0,0,0,0,0,0,0,0,0,0,2015,Clarion University
"Keith Robinson, Jr.",5,1,6,0,0,0,0,0,0,0,0,0,0,0,2015,Clarion University
Joe Dever,4,2,6,2.0,4,0,0,0,0,0,0,0,0,0,2015,Clarion University
Jakob Plonski,2,3,5,0,0,0,0,0,0,0,0,0,0,0,2015,Clarion University
Rocky Owens,1,3,4,1.0,4,0,0,0,0,0,0,0,0,0,2015,Clarion University
Bruno Natter,2,2,4,1.0,1,0,0,0,0,0,0,0,0,0,2015,Clarion University
Tevin Stewart,0,3,3,0,0,0,0,0,0,0,1-0,1,0,0,2015,Clarion University
Dorian Stevens,2,1,3,0,0,0,0,0,0,0,0,0,0,0,2015,Clarion University
Conall Ryan,0,3,3,0.5,0,0,0,0,0,0,0,0,0,0,2015,Clarion University
Ryan Carroll,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2015,Clarion University
Benji Abercrombie,1,1,2,1.0,2,0,0,0,0,0,0,0,0,0,2015,Clarion University
James Karasek,0,2,2,0.5,1,0,0,0,0,0,0,0,0,0,2015,Clarion University
Thomas Higgins III,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,Clarion University
Devin Miller,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2015,Clarion University
Austin Brooks,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2015,Clarion University
Dylan Bongiorni,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,Clarion University
Tarique Ellis,7,3,10,0,0,0,0,0,0,0,0,0,0,0,2015,Gannon University
Bruno Natter,6,3,9,0,0,0,0,0,0,0,0,0,0,0,2015,Gannon University
Jakob Plonski,4,3,7,1.0,4,0,0,0,0,0,0,0,1,1,2015,Gannon University
Benji Abercrombie,5,2,7,1.0,12,1.0,12,0,0,0,0,0,0,0,2015,Gannon University
Joe Dever,2,4,6,0,0,0.5,0,0,0,0,0,2,0,0,2015,Gannon University
"Keith Robinson, Jr.",5,0,5,0,0,0,0,0,0,0,0,1,0,0,2015,Gannon University
Ben Young,4,1,5,0,0,0,0,0,0,0,0,0,0,0,2015,Gannon University
Tevin Stewart,3,0,3,0,0,0,0,0,0,0,2-29,1,0,0,2015,Gannon University
Dante Redwood,1,2,3,0,0,0,0,0,0,0,0,1,0,0,2015,Gannon University
Ryan Carroll,2,1,3,1.0,1,0,0,0,0,0,0,0,1,2,2015,Gannon University
James Karasek,2,1,3,0,0,0,0,0,0,0,0,0,0,0,2015,Gannon University
Rocky Owens,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2015,Gannon University
Dorian Stevens,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2015,Gannon University
Brandon Brown-Dukes,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,Gannon University
Thomas Higgins III,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,Gannon University
Trae Williams,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2015,Gannon University
Dylan Bongiorni,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2015,Gannon University
Joe Dever,12,6,18,0,0,0,0,1,0,0,0,1,0,0,2015,Slippery Rock University
Tarique Ellis,13,1,14,0,0,0,0,0,1,0,0,1,0,0,2015,Slippery Rock University
Bruno Natter,5,4,9,0,0,0,0,0,0,0,0,0,0,0,2015,Slippery Rock University
Jakob Plonski,6,1,7,0,0,0,0,0,1,0,0,0,0,0,2015,Slippery Rock University
Rocky Owens,5,1,6,0,0,0,0,0,0,0,0,0,0,0,2015,Slippery Rock University
Dorian Stevens,4,2,6,1.0,3,0,0,1,0,0,0,0,0,0,2015,Slippery Rock University
Benji Abercrombie,4,2,6,2.0,5,1.0,3,0,0,0,0,0,0,0,2015,Slippery Rock University
"Keith Robinson, Jr.",4,1,5,0,0,0,0,0,0,0,1-8,0,0,0,2015,Slippery Rock University
James Karasek,3,2,5,0,0,0,0,0,0,0,0,1,0,0,2015,Slippery Rock University
Ryan Carroll,3,1,4,0,0,0,0,0,0,0,0,0,0,0,2015,Slippery Rock University
Tevin Stewart,2,0,2,0,0,0,0,0,1,0,0,0,0,0,2015,Slippery Rock University
Austin Drew,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2015,Slippery Rock University
Theophilus Blackston,1,1,2,1.0,2,0,0,0,0,0,0,0,0,0,2015,Slippery Rock University
Kyle Briggs,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2015,Slippery Rock University
Richie Sanders,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,Slippery Rock University
Ben Young,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,Slippery Rock University
Jaquan Williams,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,Slippery Rock University
Trae Williams,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2015,Slippery Rock University
Nick Slonac,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2015,Slippery Rock University
Dylan Bongiorni,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,Slippery Rock University
Bruno Natter,2,3,5,0,0,0,0,0,0,0,0,0,0,0,2015,Edinboro University of Pennsylvania
"K. Robinson, Jr",2,2,4,0,0,0,0,0,0,0,0,1,0,0,2015,Edinboro University of Pennsylvania
Tarique Ellis,3,1,4,0,0,0,0,0,0,0,0,0,0,0,2015,Edinboro University of Pennsylvania
Dorian Stevens,1,3,4,0,0,0,0,0,0,0,2-14,1,0,0,2015,Edinboro University of Pennsylvania
Austin Drew,1,3,4,0,0,0,0,0,0,0,0,0,0,0,2015,Edinboro University of Pennsylvania
Ryan Carroll,0,4,4,0,0,0,0,0,0,0,0,0,0,0,2015,Edinboro University of Pennsylvania
Austin Brooks,0,4,4,0.5,0,0,0,0,0,0,0,0,0,0,2015,Edinboro University of Pennsylvania
Jonah Bowden,1,2,3,0,0,0,0,0,0,0,0,0,0,0,2015,Edinboro University of Pennsylvania
T. Higgins III,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2015,Edinboro University of Pennsylvania
Chris Peluso,1,2,3,0,0,0,0,0,0,0,0,0,0,0,2015,Edinboro University of Pennsylvania
Joe Dever,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2015,Edinboro University of Pennsylvania
T. Blackston,2,1,3,0,0,0,0,0,0,0,0,0,0,0,2015,Edinboro University of Pennsylvania
Dante Redwood,0,2,2,0.5,1,0,0,0,0,0,0,1,1,0,2015,Edinboro University of Pennsylvania
B. Abercrombie,1,1,2,1.0,3,1.0,3,0,0,0,0,0,0,0,2015,Edinboro University of Pennsylvania
James Karasek,0,2,2,0,0,0,0,0,0,0,0,1,0,0,2015,Edinboro University of Pennsylvania
Richie Sanders,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2015,Edinboro University of Pennsylvania
Ben Young,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,Edinboro University of Pennsylvania
Zach Emerick,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2015,Edinboro University of Pennsylvania
B. Brown-Dukes,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2015,Edinboro University of Pennsylvania
Trae Williams,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2015,Edinboro University of Pennsylvania
Tevin Stewart,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2015,Edinboro University of Pennsylvania
Rocky Owens,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,Edinboro University of Pennsylvania
Joe Dever,9,2,11,1.0,2,0,0,0,0,0,0,0,0,0,2015,Seton Hill University
Tarique Ellis,7,2,9,1.0,4,0,0,0,0,0,0,1,0,0,2015,Seton Hill University
"Keith Robinson, Jr.",7,0,7,0,0,0,0,0,0,0,0,0,0,0,2015,Seton Hill University
Tevin Stewart,5,0,5,0,0,0,0,0,0,0,0,0,0,0,2015,Seton Hill University
Rocky Owens,2,2,4,1.0,3,0,0,0,0,0,0,0,0,0,2015,Seton Hill University
Austin Brooks,3,1,4,1.0,1,0,0,0,0,0,0,1,0,1,2015,Seton Hill University
Dante Redwood,3,0,3,1.0,1,0,0,0,0,0,0,0,0,0,2015,Seton Hill University
Austin Drew,1,2,3,0,0,0,0,0,0,0,0,0,0,3,2015,Seton Hill University
Benji Abercrombie,1,2,3,1.0,1,0,0,0,0,0,0,0,0,0,2015,Seton Hill University
Kyle Briggs,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2015,Seton Hill University
Richie Sanders,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2015,Seton Hill University
Dorian Stevens,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2015,Seton Hill University
Chris Peluso,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2015,Seton Hill University
James Karasek,1,1,2,0,0,0,0,0,0,0,0,1,0,0,2015,Seton Hill University
Ben Young,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,Seton Hill University
Jonah Bowden,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,Seton Hill University
Thomas Higgins III,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,Seton Hill University
Nick Slonac,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2015,Seton Hill University
Bruno Natter,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2015,Seton Hill University
Darrell Benjamin,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,Seton Hill University
Andrew Bardusch,1,0,1,1.0,5,0,0,0,0,0,0,0,0,0,2015,Seton Hill University
Dylan Kondis,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,Seton Hill University
Tarique Ellis,6,1,7,0,0,0,0,0,0,0,0,0,0,0,2015,California University of Pennsylvania
Dorian Stevens,6,0,6,0,0,0,0,0,0,0,0,0,0,0,2015,California University of Pennsylvania
"Keith Robinson, Jr.",3,2,5,0,0,0,0,0,0,0,0,0,0,0,2015,California University of Pennsylvania
Bruno Natter,1,4,5,0,0,0,0,0,0,0,0,0,0,0,2015,California University of Pennsylvania
Austin Drew,4,0,4,2.0,9,0,0,0,0,0,0,0,0,0,2015,California University of Pennsylvania
Benji Abercrombie,2,2,4,0,0,0,0,0,0,0,0,0,0,0,2015,California University of Pennsylvania
Tevin Stewart,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2015,California University of Pennsylvania
Rocky Owens,1,2,3,0,0,0,0,0,0,0,0,0,0,0,2015,California University of Pennsylvania
Austin Brooks,2,1,3,0,0,0,0,0,0,0,0,0,0,0,2015,California University of Pennsylvania
Joe Dever,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2015,California University of Pennsylvania
Dante Redwood,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,California University of Pennsylvania
Jonah Bowden,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2015,California University of Pennsylvania
Josh Paugh,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,California University of Pennsylvania
Theophilus Blackston,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2015,California University of Pennsylvania
James Karasek,1,0,1,1.0,2,0,0,0,0,0,0,0,0,0,2015,California University of Pennsylvania
Tarique Ellis,5,5,10,1.5,10,1.0,9,0,0,0,0,0,0,0,2015,Shippensburg University
Joe Dever,4,3,7,0,0,0,0,0,0,0,0,0,0,0,2015,Shippensburg University
Bruno Natter,4,3,7,0,0,0,0,0,0,0,0,0,0,0,2015,Shippensburg University
Austin Drew,3,3,6,0,0,0,0,0,0,0,0,0,0,1,2015,Shippensburg University
Kyle Briggs,3,1,4,0,0,0,0,0,0,0,0,0,0,0,2015,Shippensburg University
Kazimer Struna,2,2,4,0,0,0,0,0,0,0,0,0,0,0,2015,Shippensburg University
James Karasek,2,2,4,1.0,2,0,0,0,0,0,0,1,0,0,2015,Shippensburg University
"Keith Robinson, Jr.",1,2,3,0,0,0,0,0,0,0,0,0,0,0,2015,Shippensburg University
Benji Abercrombie,2,1,3,1.5,5,0,0,0,0,0,0,0,0,0,2015,Shippensburg University
Tevin Stewart,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2015,Shippensburg University
Rocky Owens,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2015,Shippensburg University
Dorian Stevens,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2015,Shippensburg University
Nick Slonac,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2015,Shippensburg University
Austin Brooks,1,1,2,1.0,5,1.0,5,0,0,0,0,0,0,0,2015,Shippensburg University
Theophilus Blackston,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2015,Shippensburg University
FJ Williams,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,Shippensburg University
Ben Young,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2015,Shippensburg University
Thomas Higgins III,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,Shippensburg University
Chris Peluso,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2015,Shippensburg University
T.J. Latimer,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,Shippensburg University
Fernando Frye,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,Shippensburg University
Conall Ryan,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2015,Shippensburg University
Dante Redwood,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,Shippensburg University
Dante Redwood,9,0,9,0,0,0,0,0,0,0,0,0,0,0,2016,Ashland University
Ben Young,5,3,8,0,0,0,0,0,0,0,0,2,0,0,2016,Ashland University
Nick Slonac,3,3,6,0,0,0,0,0,0,0,0,0,0,0,2016,Ashland University
Akeel Marsh,5,0,5,0,0,0,0,0,0,0,0,0,0,0,2016,Ashland University
Austin Drew,3,2,5,0.5,1,0,0,0,0,0,0,0,0,0,2016,Ashland University
B. Abercrombie,2,3,5,0.5,0,0,0,0,0,0,0,0,0,0,2016,Ashland University
Dorian Stevens,1,3,4,0,0,0,0,0,0,0,0,0,0,0,2016,Ashland University
Thomas Higgins,2,2,4,0,0,0,0,0,0,0,0,0,0,0,2016,Ashland University
Tarique Ellis,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2016,Ashland University
Corbin Kessler,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2016,Ashland University
S. Zernechel,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2016,Ashland University
Kyle Briggs,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,Ashland University
Alex Smith,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2016,Ashland University
E. McDowell,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2016,Ashland University
Rocky Owens,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,Ashland University
Justin Hawkins,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,Ashland University
Quinn Lawless,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2016,Ashland University
Chris Peluso,1,0,1,1.0,5,1.0,5,0,0,0,0,0,0,0,2016,Ashland University
Alex Zacharyasz,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2016,Ashland University
Craig Carter,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2016,Ashland University
Quinn Walsh,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2016,Ashland University
TEAM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,Ashland University
Ryan Carroll,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,Ashland University
Akeel Marsh,6,2,8,0,0,0,0,0,0,0,0,0,1,0,2016,Kutztown University
Dorian Stevens,4,4,8,0,0,0,0,0,0,0,0,3,0,0,2016,Kutztown University
Thomas Higgins,2,6,8,0,0,0,0,0,0,0,0,1,0,0,2016,Kutztown University
Dante Redwood,5,2,7,0,0,0,0,0,0,0,0,0,1,0,2016,Kutztown University
Austin Drew,5,2,7,2.0,8,1.0,7,0,0,0,0,0,0,0,2016,Kutztown University
Benji Abercrombie,6,1,7,3.5,6,0,0,0,0,0,0,0,0,0,2016,Kutztown University
Ryan Carroll,3,2,5,1.0,2,0,0,0,0,0,0,0,0,0,2016,Kutztown University
Theo Blackston,2,3,5,1.5,6,1.0,6,0,0,0,0,0,0,1,2016,Kutztown University
Rocky Owens,3,1,4,0,0,0,0,0,0,0,0,0,0,0,2016,Kutztown University
Ben Young,1,2,3,0,0,0,0,0,0,0,0,1,0,0,2016,Kutztown University
Nick Slonac,2,1,3,1.5,3,0.5,0,0,0,0,0,0,1,1,2016,Kutztown University
Collin Dell,0,3,3,0.5,1,0.5,1,0,0,0,0,0,0,0,2016,Kutztown University
E'Andre Smith,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2016,Kutztown University
Tarique Ellis,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2016,Kutztown University
Chris Peluso,0,2,2,0,0,0,0,0,0,0,0,0,0,1,2016,Kutztown University
Kazimer Struna,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2016,Kutztown University
Conall Ryan,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2016,Kutztown University
Jake Tarasovitch,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,Kutztown University
Emmanuel McDowell,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,Kutztown University
Chris Smith,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2016,Kutztown University
Corbin Kessler,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2016,Kutztown University
Quinn Lawless,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2016,Kutztown University
Alex Zacharyasz,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2016,Kutztown University
Avery Jones,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2016,Kutztown University
Rocky Owens,5,3,8,0,0,0,0,0,0,0,0,0,0,0,2016,East Stroudsburg University
Akeel Marsh,2,5,7,0,0,0,0,0,0,0,0,0,0,0,2016,East Stroudsburg University
Nick Slonac,3,4,7,1.0,2,1.0,2,1,0,0,0,0,0,0,2016,East Stroudsburg University
Dante Redwood,4,1,5,0,0,0,0,0,0,0,1-0,3,0,0,2016,East Stroudsburg University
Kazimer Struna,2,2,4,0,0,0,0,0,0,0,0,0,0,0,2016,East Stroudsburg University
Theo Blackston,2,2,4,1.0,4,0,0,0,0,0,0,0,0,0,2016,East Stroudsburg University
Dorian Stevens,3,0,3,0,0,0,0,0,0,0,1-0,1,0,0,2016,East Stroudsburg University
Austin Drew,2,1,3,0,0,0,0,0,0,0,0,0,0,0,2016,East Stroudsburg University
B. Abercrombie,2,1,3,0,0,0,0,0,0,0,0,0,0,0,2016,East Stroudsburg University
Ryan Carroll,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2016,East Stroudsburg University
Austin Brooks,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2016,East Stroudsburg University
E'Andre Smith,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2016,East Stroudsburg University
Kyle Briggs,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,East Stroudsburg University
Ben Young,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2016,East Stroudsburg University
J. Tarasovitch,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,East Stroudsburg University
Tarique Ellis,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2016,East Stroudsburg University
Justin Hawkins,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2016,East Stroudsburg University
Thomas Higgins,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,East Stroudsburg University
Trae Williams,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,East Stroudsburg University
Brad Novak,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,East Stroudsburg University
Bryce Mostoller,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,East Stroudsburg University
Avery Jones,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,East Stroudsburg University
Collin Dell,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,East Stroudsburg University
Akeel Marsh,5,5,10,0.5,1,0,0,0,0,0,0,0,0,0,2016,Clarion University
Dante Redwood,7,2,9,0,0,0,0,0,0,0,0,0,0,0,2016,Clarion University
Dorian Stevens,4,1,5,0,0,0,0,0,0,0,0,2,0,0,2016,Clarion University
B. Abercrombie,2,2,4,1.5,3,0,0,0,1,2,0,0,0,0,2016,Clarion University
Ben Young,2,1,3,0,0,0,0,0,0,0,0,1,0,0,2016,Clarion University
Tarique Ellis,2,1,3,0,0,0,0,0,0,0,0,0,0,0,2016,Clarion University
Rocky Owens,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2016,Clarion University
Nick Slonac,0,3,3,1.0,4,0,0,0,0,0,0,0,0,0,2016,Clarion University
Austin Drew,2,1,3,1.0,9,1.0,9,0,0,0,0,0,0,0,2016,Clarion University
Thomas Higgins,1,1,2,0.5,0,0,0,0,0,0,0,0,0,0,2016,Clarion University
Corbin Kessler,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2016,Clarion University
Collin Dell,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2016,Clarion University
Theo Blackston,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2016,Clarion University
Kyle Briggs,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,Clarion University
Danavian Clay,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,Clarion University
Chris Smith,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2016,Clarion University
Trae Williams,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2016,Clarion University
Jeremy Hanford,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,Clarion University
Alex Zacharyasz,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2016,Clarion University
Ryan Carroll,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,Clarion University
Brad Novak,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,Clarion University
Quinn Walsh,0,1,1,0.5,3,0,0,0,0,0,0,0,0,0,2016,Clarion University
Dorian Stevens,4,6,10,0,0,0,0,0,0,0,0,0,0,0,2016,Gannon University
Akeel Marsh,2,7,9,0,0,0,0,0,0,0,0,0,0,0,2016,Gannon University
Rocky Owens,5,4,9,0,0,0,0,0,0,0,0,0,0,0,2016,Gannon University
