player,solo_tkl,ast_tkl,tot_tkl,tfl,tfl_yards,sacks,sack_yards,FF,FR,FR_yards,interceptions,pbu,blks,QBH,year,opponent
Garrett Wild,1,2,3,0.5,0,0,0,0,0,0,0,0,0,0,2012,Clarion University
Serge Augustin,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2012,Clarion University
Deonte Huggins,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2012,Clarion University
Mike Brown,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2012,Clarion University
Martin Oduho,1,1,2,0,0,0,0,1,0,0,0,0,0,0,2012,Clarion University
Michael Foster,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2012,Clarion University
T.J. Latimer,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2012,Clarion University
Colin Kimball,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Clarion University
L. Robinson,0,1,1,0.5,1,0,0,0,0,0,0,2,0,0,2012,Clarion University
Bobby Haraczy,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Clarion University
Curtis Hansford,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Clarion University
Sascha Craig,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Clarion University
Vladmir Rock,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2012,Clarion University
Chris Lyle,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,Clarion University
Nick Jackson,2,5,7,0.5,2,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
Aaron McGee,4,3,7,0,0,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
Keith Polson,4,2,6,0,0,0,0,0,0,0,0,1,0,0,2012,Slippery Rock University
Todd Wingate,3,3,6,2.0,6,0,0,2,1,0,0,0,0,0,2012,Slippery Rock University
L.J. Stevens,4,2,6,0,0,0,0,0,0,0,0,1,0,0,2012,Slippery Rock University
Matt Hyland,1,4,5,0.5,1,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
Serge Augustin,2,3,5,2.5,12,2.0,10,1,0,0,0,0,0,0,2012,Slippery Rock University
Garrett Wild,4,0,4,0,0,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
Ricky Mathews,2,1,3,2.0,11,2.0,11,0,0,0,0,0,0,0,2012,Slippery Rock University
Michael Foster,1,2,3,0,0,0,0,0,0,0,0,1,0,0,2012,Slippery Rock University
Pat Behm,1,2,3,1.0,2,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
Niko Otto,0,3,3,0.5,1,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
Tyler Houston,1,2,3,0,0,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
Sascha Craig,1,2,3,0,0,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
Aunre' Davis,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
Mike Brown,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
Colin Kimball,1,1,2,0,0,0,0,0,0,0,0,1,0,0,2012,Slippery Rock University
Curtis Hansford,0,2,2,1.0,3,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
Deonte Huggins,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2012,Slippery Rock University
Chris Lyle,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
Bobby Haraczy,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
T.J. Latimer,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
S. Wakefield,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Slippery Rock University
Keith Polson,5,0,5,0,0,0,0,0,0,0,0,0,0,0,2012,Cheyney University
T.J. Latimer,5,0,5,0,0,0,0,0,0,0,0,0,1,0,2012,Cheyney University
Matt Hyland,3,2,5,0.5,3,0.5,3,0,0,0,0,0,0,0,2012,Cheyney University
Niko Otto,3,1,4,0,0,0,0,0,0,0,0,0,0,0,2012,Cheyney University
L.J. Stevens,3,0,3,1.0,2,0,0,0,0,0,0,0,0,0,2012,Cheyney University
L. Robinson,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2012,Cheyney University
Nick Jackson,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2012,Cheyney University
Joe Dever,3,0,3,2.0,9,0,0,0,0,0,0,0,0,0,2012,Cheyney University
Serge Augustin,2,1,3,1.5,5,0.5,2,0,0,0,0,0,0,0,2012,Cheyney University
Aunre' Davis,2,0,2,0,0,0,0,0,0,0,0,1,0,0,2012,Cheyney University
Chris Lyle,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2012,Cheyney University
Aaron McGee,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2012,Cheyney University
Michael Foster,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2012,Cheyney University
Tyler Houston,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2012,Cheyney University
Allen Jones II,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Cheyney University
Mike Brown,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2012,Cheyney University
Devyn Woods,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Cheyney University
Todd Wingate,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Cheyney University
Ricky Mathews,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Cheyney University
Josh Harold,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Cheyney University
Martin Oduho,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Cheyney University
Danny Teal,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Cheyney University
Jeff Groene,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Cheyney University
Garrett Wild,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2012,Cheyney University
Curtis Hansford,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Cheyney University
Colin Kimball,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,Cheyney University
Pat Behm,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,Cheyney University
L.J. Stevens,4,3,7,2.0,8,1.0,7,0,0,0,0,0,0,0,2012,Lock Haven University
L. Robinson,4,1,5,0,0,0,0,0,0,0,0,2,0,0,2012,Lock Haven University
Keith Polson,3,1,4,0,0,0,0,0,0,0,0,0,0,0,2012,Lock Haven University
Martin Oduho,1,3,4,0,0,0,0,0,0,0,0,0,0,0,2012,Lock Haven University
Aaron McGee,2,2,4,1.0,2,0,0,0,0,0,0,0,0,0,2012,Lock Haven University
T.J. Latimer,3,1,4,0,0,0,0,0,0,0,0,0,0,0,2012,Lock Haven University
Aunre' Davis,1,2,3,0,0,0,0,0,0,0,0,0,0,0,2012,Lock Haven University
Niko Otto,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2012,Lock Haven University
Matt Hyland,0,3,3,0.5,1,0,0,0,0,0,0,0,0,0,2012,Lock Haven University
Serge Augustin,1,2,3,1.0,4,0,0,0,0,0,0,0,0,0,2012,Lock Haven University
Deonte Huggins,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2012,Lock Haven University
Nick Jackson,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2012,Lock Haven University
Pat Behm,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2012,Lock Haven University
Bobby Haraczy,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2012,Lock Haven University
Curtis Hansford,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2012,Lock Haven University
Mike Brown,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Lock Haven University
Colin Kimball,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Lock Haven University
Garrett Wild,1,0,1,1.0,3,0,0,0,0,0,0,0,0,0,2012,Lock Haven University
Nick Kurpakus,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Lock Haven University
Kevin Poropat,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,2012,Lock Haven University
Tyler Houston,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Lock Haven University
Deonte Huggins,3,3,6,2.0,6,0,0,0,0,0,0,0,0,0,2012,Gannon University
Todd Wingate,3,2,5,0,0,0,0,0,0,0,0,0,0,0,2012,Gannon University
L.J. Stevens,1,4,5,0,0,0,0,0,1,11,1-9,1,0,0,2012,Gannon University
Colin Kimball,3,2,5,0,0,0,0,0,0,0,0,0,0,0,2012,Gannon University
Matt Hyland,2,2,4,1.5,4,1.5,4,0,0,0,0,0,0,0,2012,Gannon University
Aunre' Davis,2,1,3,0,0,0,0,0,0,0,0,1,0,0,2012,Gannon University
Mike Brown,2,1,3,0,0,0,0,0,1,25,0,0,0,0,2012,Gannon University
Nick Jackson,2,1,3,1.0,4,0,0,0,0,0,0,0,0,0,2012,Gannon University
Martin Oduho,2,1,3,0,0,0,0,0,0,0,0,0,0,0,2012,Gannon University
Curtis Hansford,0,3,3,0.5,3,0.5,3,0,0,0,0,0,0,0,2012,Gannon University
Ricky Mathews,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2012,Gannon University
Aaron McGee,2,0,2,1.0,7,1.0,7,0,0,0,0,0,0,0,2012,Gannon University
Pat Behm,1,1,2,0,0,0,0,0,0,0,0,1,0,0,2012,Gannon University
Niko Otto,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2012,Gannon University
Dustin Galich,2,0,2,1.0,4,1.0,4,0,0,0,0,0,0,0,2012,Gannon University
Serge Augustin,1,1,2,1.0,6,1.0,6,0,0,0,0,0,0,0,2012,Gannon University
Vladmir Rock,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Gannon University
L. Robinson,1,0,1,0,0,0,0,1,0,0,1-0,3,0,0,2012,Gannon University
Chris Lyle,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Gannon University
Leon Gallop,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Gannon University
Michael Foster,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Gannon University
Garrett Wild,1,0,1,0,0,0,0,1,1,0,0,0,0,0,2012,Gannon University
Nick Kurpakus,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Gannon University
Tyler Houston,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Gannon University
Aaron McGee,4,5,9,0,0,0,0,0,0,0,0,0,0,0,2012,Indiana University of Pennsylvania
Dustin Galich,3,5,8,0.5,2,0,0,0,0,0,0,0,0,0,2012,Indiana University of Pennsylvania
Keith Polson,5,1,6,0,0,0,0,0,0,0,0,0,0,0,2012,Indiana University of Pennsylvania
Todd Wingate,4,2,6,1.0,2,0,0,0,0,0,0,0,0,0,2012,Indiana University of Pennsylvania
L.J. Stevens,2,3,5,1.0,1,0,0,0,0,0,0,0,0,0,2012,Indiana University of Pennsylvania
Nick Jackson,3,2,5,0,0,0,0,1,0,0,0,1,0,0,2012,Indiana University of Pennsylvania
Niko Otto,0,5,5,0.5,1,0,0,0,0,0,0,0,0,0,2012,Indiana University of Pennsylvania
Deonte Huggins,2,1,3,0,0,0,0,0,0,0,0,0,0,0,2012,Indiana University of Pennsylvania
Aunre' Davis,2,0,2,0,0,0,0,0,0,0,0,1,0,0,2012,Indiana University of Pennsylvania
Colin Kimball,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2012,Indiana University of Pennsylvania
T.J. Latimer,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2012,Indiana University of Pennsylvania
Vladmir Rock,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Indiana University of Pennsylvania
Mike Brown,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Indiana University of Pennsylvania
Ricky Mathews,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Indiana University of Pennsylvania
Pat Behm,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Indiana University of Pennsylvania
Garrett Wild,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Indiana University of Pennsylvania
Matt Hyland,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Indiana University of Pennsylvania
Michael Foster,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,Indiana University of Pennsylvania
Dustin Galich,3,9,12,0.5,1,0,0,0,2,0,0,0,0,0,2012,Edinboro University
Pat Behm,2,8,10,1.5,6,1.5,6,1,0,0,0,0,0,0,2012,Edinboro University
Michael Foster,5,4,9,1.0,2,0,0,0,0,0,0,1,0,0,2012,Edinboro University
Colin Kimball,4,3,7,1.0,1,0,0,0,0,0,0,1,0,0,2012,Edinboro University
Aaron McGee,1,6,7,0,0,0,0,0,0,0,0,0,0,0,2012,Edinboro University
Nick Jackson,1,5,6,1.0,3,0.5,1,0,0,0,0,0,0,0,2012,Edinboro University
Niko Otto,2,3,5,1.0,5,1.0,5,1,0,0,0,0,0,0,2012,Edinboro University
L. Robinson,4,0,4,0,0,0,0,0,0,0,0,1,0,0,2012,Edinboro University
Vladmir Rock,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2012,Edinboro University
Matt Hyland,1,2,3,1.0,1,1.0,1,0,0,0,0,0,0,0,2012,Edinboro University
Deonte Huggins,2,0,2,1.0,3,0,0,0,0,0,0,0,0,0,2012,Edinboro University
Mike Brown,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2012,Edinboro University
Todd Wingate,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2012,Edinboro University
Serge Augustin,1,1,2,1.0,8,1.0,8,0,0,0,0,0,0,0,2012,Edinboro University
Ozzie Lumpkin,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Edinboro University
Ricky Mathews,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Edinboro University
Chris Lyle,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Edinboro University
Bobby Haraczy,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Edinboro University
Garrett Wild,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Edinboro University
Curtis Hansford,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Edinboro University
T.J. Latimer,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Edinboro University
Tyler Dawson,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Edinboro University
L.J. Stevens,2,3,5,0,0,0,0,0,1,0,1-0,0,0,0,2012,California University of Pennsylvania
Niko Otto,1,4,5,0,0,0,0,0,0,0,0,0,0,0,2012,California University of Pennsylvania
Keith Polson,2,2,4,0,0,0,0,0,0,0,0,0,0,0,2012,California University of Pennsylvania
Todd Wingate,4,0,4,0,0,0,0,0,0,0,0,0,0,0,2012,California University of Pennsylvania
Nick Jackson,2,2,4,1.0,9,1.0,9,0,0,0,0,0,0,0,2012,California University of Pennsylvania
Michael Foster,2,2,4,0,0,0,0,0,0,0,0,2,0,0,2012,California University of Pennsylvania
Pat Behm,3,1,4,0,0,0,0,0,0,0,0,0,0,0,2012,California University of Pennsylvania
Bobby Haraczy,2,2,4,0.5,0,0,0,0,0,0,0,0,0,0,2012,California University of Pennsylvania
Matt Hyland,0,4,4,0,0,0,0,0,0,0,0,0,0,0,2012,California University of Pennsylvania
L. Robinson,3,0,3,0,0,0,0,0,0,0,1-52,0,0,0,2012,California University of Pennsylvania
Aaron McGee,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2012,California University of Pennsylvania
Dustin Galich,1,2,3,0,0,0,0,0,0,0,0,0,0,0,2012,California University of Pennsylvania
Serge Augustin,2,1,3,1.5,4,0,0,0,0,0,0,0,0,0,2012,California University of Pennsylvania
Deonte Huggins,0,2,2,0,0,0,0,0,0,0,0,1,0,0,2012,California University of Pennsylvania
Josh Harold,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2012,California University of Pennsylvania
Nick Kurpakus,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2012,California University of Pennsylvania
T.J. Latimer,1,1,2,0,0,0,0,0,1,0,0,0,0,0,2012,California University of Pennsylvania
Vladmir Rock,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,California University of Pennsylvania
Ricky Mathews,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,California University of Pennsylvania
