date,opponent,Solo,aST,TOT,TFL,YDS,TOT,YDS,FF,FR,YDS,TOT,YDS,QBH,Pass Brup,Blkd Kick,SAF
2017-11-04,Indiana (Pa.),41,50,91,2.0,3,0,0,0,0,0,1,0,0,1,0,0
2017-11-11,Lock Haven,48,12,60,4.0,15,1.0,8,0,0,0,1,0,1,2,0,0
2018-09-01,Hillsdale College,37,34,71,5.0,14,1.0,8,4,1,26,0,0,0,3,0,0
2018-09-08,Tiffin University,41,48,89,8.0,33,3.0,22,1,0,0,0,0,0,5,0,0
2018-09-15,Bloomsburg,41,28,69,8.0,25,2.0,9,0,0,0,0,0,0,5,0,0
2018-09-22,Indiana (PA),31,56,87,1.0,1,1.0,1,1,1,0,0,0,0,4,0,0
2018-09-29,Slippery Rock,47,32,79,7.0,32,3.0,22,1,0,0,0,0,3,5,0,0
2018-10-06,Edinboro,37,24,61,6.0,19,2.0,10,0,0,0,3,2,0,6,0,0
2018-10-13,Seton Hill,38,22,60,6.0,37,2.0,21,0,0,0,1,0,0,3,0,1
2018-10-20,California (Pa.),33,52,85,3.0,6,0,0,0,1,0,1,3,0,4,0,0
2018-10-27,Gannon University,35,42,77,5.0,31,3.0,28,0,0,0,1,0,0,3,0,0
2018-11-03,Clarion,35,14,49,9.0,32,4.0,26,1,1,0,1,15,0,5,0,0
2018-11-10,Millersville,36,18,54,8.0,27,3.0,12,0,0,0,2,16,0,8,0,0
2019-09-05,Lake Erie,28,42,70,8.0,34,4.0,19,2,2,5,1,20,0,4,0,0
2019-09-14,Shepherd,43,38,81,4.0,8,1.0,1,0,0,0,1,43,0,2,0,0
2019-09-21,Bloomsburg,29,44,73,9.0,51,6.0,41,2,2,0,0,0,2,3,0,0
2019-09-28,IUP,30,46,76,4.0,8,1.0,4,2,1,55,0,0,0,1,0,0
2019-10-05,Slippery Rock,43,30,73,6.0,18,1.0,9,0,0,0,2,39,0,2,0,0
2019-10-12,Edinboro,27,24,51,6.0,22,0,0,0,0,0,3,99,0,6,0,1
2019-10-19,Seton Hill,35,38,73,7.0,27,1.0,13,0,1,0,0,0,0,2,0,0
2019-10-26,California (PA),22,52,74,2.0,7,1.0,4,0,0,0,1,25,0,2,0,0
2019-11-02,Gannon,27,34,61,10.0,40,4.0,27,2,0,0,0,0,0,4,0,0
2019-11-09,Clarion,34,46,80,8.0,33,3.0,22,0,1,37,4,127,3,7,1,0
2019-11-16,Millersville,23,22,45,3.0,18,2.0,16,2,2,0,1,5,2,1,0,0
2021-04-24,Mercyhurst,40,38,78,10.0,38,4.0,23,1,1,0,0,0,0,4,0,0
2021-09-04,Alderson Broaddus,19,28,47,5.0,28,5.0,28,0,0,0,0,0,0,0,0,1
2021-09-11,West Chester,23,46,69,3.0,6,1.0,4,0,0,0,1,38,1,1,0,0
2021-09-18,East Stroudsburg,39,24,63,2.0,4,0,0,0,1,0,0,0,0,5,0,0
2021-09-25,Indiana (PA),27,34,61,1.0,4,0,0,0,0,0,0,0,0,1,0,0
2021-10-02,California (PA),36,30,66,5.0,17,0,0,1,1,1,1,0,0,2,0,0
2021-10-09,Seton Hill,24,64,88,6.0,14,1.0,6,0,0,0,0,0,1,5,0,0
2021-10-16,Edinboro,43,28,71,5.0,25,2.0,18,1,1,0,0,0,2,6,0,0
2021-10-23,Slippery Rock,38,44,82,10.0,48,3.0,24,4,3,30,1,2,3,5,0,0
